dataset,setting,label,threshold,precision,recall,f1,support,tn,fp,fn,tp
validation,default_0.5,mean_shift,0.5,0.825531914893617,0.6466666666666666,0.7252336448598131,300,619,41,106,194
validation,default_0.5,variance_shift,0.5,0.9663461538461539,0.67,0.7913385826771654,300,653,7,99,201
validation,default_0.5,trend_shift,0.5,0.7232142857142857,0.54,0.6183206106870229,300,598,62,138,162
validation,default_0.5,point_anomaly,0.5,0.7375886524822695,0.6933333333333334,0.7147766323024055,300,586,74,92,208
validation,default_0.5,collective_anomaly,0.5,0.9504132231404959,0.7666666666666667,0.8487084870848709,300,648,12,70,230
ood_params,default_0.5,mean_shift,0.5,0.6616915422885572,0.44333333333333336,0.530938123752495,300,592,68,167,133
ood_params,default_0.5,variance_shift,0.5,0.9203539823008849,0.3466666666666667,0.5036319612590799,300,651,9,196,104
ood_params,default_0.5,trend_shift,0.5,0.6615384615384615,0.43,0.5212121212121212,300,594,66,171,129
ood_params,default_0.5,point_anomaly,0.5,0.5810055865921788,0.3466666666666667,0.4342379958246347,300,585,75,196,104
ood_params,default_0.5,collective_anomaly,0.5,0.9722222222222222,0.9333333333333333,0.9523809523809523,300,652,8,20,280
ood_background,default_0.5,mean_shift,0.5,0.5148514851485149,0.3466666666666667,0.41434262948207173,300,562,98,196,104
ood_background,default_0.5,variance_shift,0.5,0.5808383233532934,0.3233333333333333,0.41541755888650966,300,590,70,203,97
ood_background,default_0.5,trend_shift,0.5,0.48484848484848486,0.48,0.4824120603015075,300,507,153,156,144
ood_background,default_0.5,point_anomaly,0.5,0.7068403908794788,0.7233333333333334,0.71499176276771,300,570,90,83,217
ood_background,default_0.5,collective_anomaly,0.5,0.8008130081300813,0.6566666666666666,0.7216117216117216,300,611,49,103,197
