dataset,setting,label,threshold,precision,recall,f1,support,tn,fp,fn,tp
validation,tuned,mean_shift,0.4600000000000001,0.7854406130268199,0.6833333333333333,0.7308377896613191,300,604,56,95,205
validation,tuned,variance_shift,0.36000000000000004,0.889795918367347,0.7266666666666667,0.8,300,633,27,82,218
validation,tuned,trend_shift,0.32000000000000006,0.6027397260273972,0.7333333333333333,0.6616541353383458,300,515,145,80,220
validation,tuned,point_anomaly,0.4600000000000001,0.7239057239057239,0.7166666666666667,0.7202680067001676,300,578,82,85,215
validation,tuned,collective_anomaly,0.4700000000000001,0.9469387755102041,0.7733333333333333,0.8513761467889909,300,647,13,68,232
ood_params,tuned,mean_shift,0.4600000000000001,0.6278026905829597,0.4666666666666667,0.5353728489483748,300,577,83,160,140
ood_params,tuned,variance_shift,0.36000000000000004,0.8,0.4266666666666667,0.5565217391304348,300,628,32,172,128
ood_params,tuned,trend_shift,0.32000000000000006,0.5186170212765957,0.65,0.5769230769230769,300,479,181,105,195
ood_params,tuned,point_anomaly,0.4600000000000001,0.5555555555555556,0.38333333333333336,0.4536489151873767,300,568,92,185,115
ood_params,tuned,collective_anomaly,0.4700000000000001,0.9656357388316151,0.9366666666666666,0.9509306260575296,300,650,10,19,281
ood_background,tuned,mean_shift,0.4600000000000001,0.49145299145299143,0.38333333333333336,0.4307116104868914,300,541,119,185,115
ood_background,tuned,variance_shift,0.36000000000000004,0.48638132295719844,0.4166666666666667,0.4488330341113106,300,528,132,175,125
ood_background,tuned,trend_shift,0.32000000000000006,0.42543859649122806,0.6466666666666666,0.5132275132275133,300,398,262,106,194
ood_background,tuned,point_anomaly,0.4600000000000001,0.6962025316455697,0.7333333333333333,0.7142857142857143,300,564,96,80,220
ood_background,tuned,collective_anomaly,0.4700000000000001,0.7799227799227799,0.6733333333333333,0.7227191413237924,300,603,57,98,202
