dataset,setting_default,label,decision_rule_default,threshold_default,precision_default,recall_default,f1_default,support_default,tn_default,fp_default,fn_default,tp_default,setting_tuned,decision_rule_tuned,threshold_tuned,precision_tuned,recall_tuned,f1_tuned,support_tuned,tn_tuned,fp_tuned,fn_tuned,tp_tuned,threshold_change,precision_change,recall_change,f1_change,support_change,tn_change,fp_change,fn_change,tp_change
validation,default_0.5,mean_shift,argmax_regime,,0.8581266315484155,0.6908099395162809,0.7654314805541645,132763,620074,15163,41049,91714,tuned,argmax_regime,,0.8581266315484155,0.6908099395162809,0.7654314805541645,132763,620074,15163,41049,91714,,0.0,0.0,0.0,0,0,0,0,0
validation,default_0.5,variance_shift,argmax_regime,,0.9084880403001374,0.7428581716055161,0.8173667758792138,138865,618744,10391,35708,103157,tuned,argmax_regime,,0.9084880403001374,0.7428581716055161,0.8173667758792138,138865,618744,10391,35708,103157,,0.0,0.0,0.0,0,0,0,0,0
validation,default_0.5,trend_shift,argmax_regime,,0.8050989980073207,0.43501634136656586,0.5648365267828371,130956,623253,13791,73988,56968,tuned,argmax_regime,,0.8050989980073207,0.43501634136656586,0.5648365267828371,130956,623253,13791,73988,56968,,0.0,0.0,0.0,0,0,0,0,0
validation,default_0.5,point_anomaly,sigmoid_threshold,0.5,0.22749590834697217,0.9144736842105263,0.36435124508519,152,767376,472,13,139,tuned,sigmoid_threshold,0.9200000000000003,0.5225225225225225,0.7631578947368421,0.6203208556149733,152,767742,106,36,116,0.42000000000000026,0.2950266141755503,-0.15131578947368418,0.2559696105297833,0,366,-366,23,-23
validation,default_0.5,collective_anomaly,sigmoid_threshold,0.5,0.8263806589239157,0.9397996316096859,0.8794484266285498,22259,741346,4395,1340,20919,tuned,sigmoid_threshold,0.9400000000000002,0.9623069498069498,0.8957724965182623,0.9278484841434189,22259,744960,781,2320,19939,0.44000000000000017,0.1359262908830341,-0.04402713509142364,0.04840005751486909,0,3614,-3614,980,-980
ood_params,default_0.5,mean_shift,argmax_regime,,0.7540558209705809,0.6010164980519793,0.6688941726480704,124742,618805,24453,49770,74972,tuned,argmax_regime,,0.7540558209705809,0.6010164980519793,0.6688941726480704,124742,618805,24453,49770,74972,,0.0,0.0,0.0,0,0,0,0,0
ood_params,default_0.5,variance_shift,argmax_regime,,0.8187139715932727,0.4216026808256698,0.5565869079964043,130706,625092,12202,75600,55106,tuned,argmax_regime,,0.8187139715932727,0.4216026808256698,0.5565869079964043,130706,625092,12202,75600,55106,,0.0,0.0,0.0,0,0,0,0,0
ood_params,default_0.5,trend_shift,argmax_regime,,0.6962721564263572,0.3317729045941749,0.4494048840549969,132015,616879,19106,88216,43799,tuned,argmax_regime,,0.6962721564263572,0.3317729045941749,0.4494048840549969,132015,616879,19106,88216,43799,,0.0,0.0,0.0,0,0,0,0,0
ood_params,default_0.5,point_anomaly,sigmoid_threshold,0.5,0.05084745762711865,0.09868421052631579,0.06711409395973154,152,767568,280,137,15,tuned,sigmoid_threshold,0.9200000000000003,0.07692307692307693,0.02631578947368421,0.0392156862745098,152,767800,48,148,4,0.42000000000000026,0.02607561929595828,-0.07236842105263158,-0.02789840768522174,0,232,-232,11,-11
ood_params,default_0.5,collective_anomaly,sigmoid_threshold,0.5,0.8849479557542337,0.9428472101512254,0.9129805426513162,28765,735709,3526,1644,27121,tuned,sigmoid_threshold,0.9400000000000002,0.9773840055957099,0.8743959673213976,0.9230261105708362,28765,738653,582,3613,25152,0.44000000000000017,0.09243604984147624,-0.06845124282982784,0.010045567919519938,0,2944,-2944,1969,-1969
ood_background,default_0.5,mean_shift,argmax_regime,,0.40214980620567,0.4365064105029188,0.41862437765074684,130021,553605,84374,73266,56755,tuned,argmax_regime,,0.40214980620567,0.4365064105029188,0.41862437765074684,130021,553605,84374,73266,56755,,0.0,0.0,0.0,0,0,0,0,0
ood_background,default_0.5,variance_shift,argmax_regime,,0.6469289686798712,0.3931469993106975,0.48907616487868294,134919,604132,28949,81876,53043,tuned,argmax_regime,,0.6469289686798712,0.3931469993106975,0.48907616487868294,134919,604132,28949,81876,53043,,0.0,0.0,0.0,0,0,0,0,0
ood_background,default_0.5,trend_shift,argmax_regime,,0.5426673306322009,0.3711079292597036,0.44078266984735454,129205,598386,40409,81256,47949,tuned,argmax_regime,,0.5426673306322009,0.3711079292597036,0.44078266984735454,129205,598386,40409,81256,47949,,0.0,0.0,0.0,0,0,0,0,0
ood_background,default_0.5,point_anomaly,sigmoid_threshold,0.5,0.21934369602763384,0.8581081081081081,0.3493810178817056,148,767400,452,21,127,tuned,sigmoid_threshold,0.9200000000000003,0.3821138211382114,0.6351351351351351,0.47715736040609136,148,767700,152,54,94,0.42000000000000026,0.16277012511057756,-0.22297297297297303,0.12777634252438574,0,300,-300,33,-33
ood_background,default_0.5,collective_anomaly,sigmoid_threshold,0.5,0.7187974609603178,0.8444119127132989,0.776557701207455,21859,738920,7221,3401,18458,tuned,sigmoid_threshold,0.9400000000000002,0.9409459837671424,0.7690196257834302,0.8463397442352231,21859,745086,1055,5049,16810,0.44000000000000017,0.22214852280682462,-0.07539228692986866,0.06978204302776803,0,6166,-6166,1648,-1648
