dataset,setting,label,precision,recall,f1,support,tn,fp,fn,tp
validation,tuned,mean_shift,0.6901960784313725,0.7822222222222223,0.7333333333333333,225,416,79,49,176
validation,tuned,variance_shift,0.83,0.7377777777777778,0.7811764705882352,225,461,34,59,166
validation,tuned,trend_shift,0.7195767195767195,0.6044444444444445,0.6570048309178744,225,442,53,89,136
validation,tuned,point_anomaly,0.6416666666666667,0.6844444444444444,0.6623655913978495,225,409,86,71,154
validation,tuned,collective_anomaly,0.8717948717948718,0.7555555555555555,0.8095238095238095,225,470,25,55,170
ood_params,tuned,mean_shift,0.5892116182572614,0.6311111111111111,0.6094420600858369,225,396,99,83,142
ood_params,tuned,variance_shift,0.6535947712418301,0.4444444444444444,0.5291005291005291,225,442,53,125,100
ood_params,tuned,trend_shift,0.546875,0.4666666666666667,0.5035971223021583,225,408,87,120,105
ood_params,tuned,point_anomaly,0.5245098039215687,0.47555555555555556,0.4988344988344988,225,398,97,118,107
ood_params,tuned,collective_anomaly,0.8785425101214575,0.9644444444444444,0.9194915254237288,225,465,30,8,217
ood_background,tuned,mean_shift,0.45,0.64,0.5284403669724771,225,319,176,81,144
ood_background,tuned,variance_shift,0.5592105263157895,0.37777777777777777,0.4509283819628647,225,428,67,140,85
ood_background,tuned,trend_shift,0.4889705882352941,0.5911111111111111,0.5352112676056338,225,356,139,92,133
ood_background,tuned,point_anomaly,0.6561264822134387,0.7377777777777778,0.694560669456067,225,408,87,59,166
ood_background,tuned,collective_anomaly,0.7352941176470589,0.6666666666666666,0.6993006993006993,225,441,54,75,150
