dataset,setting,label,decision_rule,threshold,precision,recall,f1,support,tn,fp,fn,tp
validation,default_0.5,mean_shift,argmax_regime,,0.8202037085400888,0.7593670812619688,0.788613843982744,103394,455395,17211,24880,78514
validation,default_0.5,variance_shift,argmax_regime,,0.8364045374048724,0.6798288270764443,0.7500321902227564,102820,459508,13672,32920,69900
validation,default_0.5,trend_shift,argmax_regime,,0.7801825380846923,0.47606470106470106,0.5913125302001475,97680,465218,13102,51178,46502
validation,default_0.5,point_anomaly,sigmoid_threshold,0.5,0.18292682926829268,0.8108108108108109,0.29850746268656714,111,575487,402,21,90
validation,default_0.5,collective_anomaly,sigmoid_threshold,0.5,0.8143363862565515,0.9331472943460325,0.8697028807282391,16484,556009,3507,1102,15382
ood_params,default_0.5,mean_shift,argmax_regime,,0.7207394904794556,0.5637693267733185,0.6326633369408579,96951,457871,21178,42293,54658
ood_params,default_0.5,variance_shift,argmax_regime,,0.7415140108741113,0.4373014463584522,0.5501542204266041,101358,459191,15451,57034,44324
ood_params,default_0.5,trend_shift,argmax_regime,,0.5580764695974398,0.31813991895992166,0.40525697791041854,104146,445617,26237,71013,33133
ood_params,default_0.5,point_anomaly,sigmoid_threshold,0.5,0.08383233532934131,0.14893617021276595,0.10727969348659004,94,575753,153,80,14
ood_params,default_0.5,collective_anomaly,sigmoid_threshold,0.5,0.9065996285727227,0.9538674164800076,0.9296330701346958,20983,552955,2062,968,20015
ood_background,default_0.5,mean_shift,argmax_regime,,0.3728865721594953,0.6015079586707623,0.4603766415730604,96687,381504,97809,38529,58158
ood_background,default_0.5,variance_shift,argmax_regime,,0.5555670148659997,0.3773554694927297,0.4494398092967819,99927,445908,30165,62219,37708
ood_background,default_0.5,trend_shift,argmax_regime,,0.5521923486159857,0.3582054187699598,0.4345315829266616,97070,450732,28198,62299,34771
ood_background,default_0.5,point_anomaly,sigmoid_threshold,0.5,0.16917293233082706,0.8181818181818182,0.2803738317757009,110,575448,442,20,90
ood_background,default_0.5,collective_anomaly,sigmoid_threshold,0.5,0.8360674610027053,0.8531070128039469,0.844501293642257,17026,556126,2848,2501,14525
