dataset,setting,label,decision_rule,threshold,precision,recall,f1,support,tn,fp,fn,tp
validation,tuned,mean_shift,argmax_regime,,0.8581266315484155,0.6908099395162809,0.7654314805541645,132763,620074,15163,41049,91714
validation,tuned,variance_shift,argmax_regime,,0.9084880403001374,0.7428581716055161,0.8173667758792138,138865,618744,10391,35708,103157
validation,tuned,trend_shift,argmax_regime,,0.8050989980073207,0.43501634136656586,0.5648365267828371,130956,623253,13791,73988,56968
validation,tuned,point_anomaly,sigmoid_threshold,0.9200000000000003,0.5225225225225225,0.7631578947368421,0.6203208556149733,152,767742,106,36,116
validation,tuned,collective_anomaly,sigmoid_threshold,0.9400000000000002,0.9623069498069498,0.8957724965182623,0.9278484841434189,22259,744960,781,2320,19939
ood_params,tuned,mean_shift,argmax_regime,,0.7540558209705809,0.6010164980519793,0.6688941726480704,124742,618805,24453,49770,74972
ood_params,tuned,variance_shift,argmax_regime,,0.8187139715932727,0.4216026808256698,0.5565869079964043,130706,625092,12202,75600,55106
ood_params,tuned,trend_shift,argmax_regime,,0.6962721564263572,0.3317729045941749,0.4494048840549969,132015,616879,19106,88216,43799
ood_params,tuned,point_anomaly,sigmoid_threshold,0.9200000000000003,0.07692307692307693,0.02631578947368421,0.0392156862745098,152,767800,48,148,4
ood_params,tuned,collective_anomaly,sigmoid_threshold,0.9400000000000002,0.9773840055957099,0.8743959673213976,0.9230261105708362,28765,738653,582,3613,25152
ood_background,tuned,mean_shift,argmax_regime,,0.40214980620567,0.4365064105029188,0.41862437765074684,130021,553605,84374,73266,56755
ood_background,tuned,variance_shift,argmax_regime,,0.6469289686798712,0.3931469993106975,0.48907616487868294,134919,604132,28949,81876,53043
ood_background,tuned,trend_shift,argmax_regime,,0.5426673306322009,0.3711079292597036,0.44078266984735454,129205,598386,40409,81256,47949
ood_background,tuned,point_anomaly,sigmoid_threshold,0.9200000000000003,0.3821138211382114,0.6351351351351351,0.47715736040609136,148,767700,152,54,94
ood_background,tuned,collective_anomaly,sigmoid_threshold,0.9400000000000002,0.9409459837671424,0.7690196257834302,0.8463397442352231,21859,745086,1055,5049,16810
