length,event,tolerance_points,shift_min_persistence,tp,fp,fn,tn,start_precision,start_recall,start_f1,start_specificity,start_balanced_accuracy,mean_abs_start_error,dataset,setting,point_anomaly_threshold,collective_anomaly_threshold
400,mean_shift,20,40.0,43,28,83,213,0.605633802731601,0.3412698412427564,0.43654821869566346,0.8838174273492192,0.6125436342959878,5.930232558139535,validation,default_0.5,0.5,0.5
400,variance_shift,20,40.0,48,35,79,211,0.5783132529423719,0.3779527558757518,0.45714285231882096,0.8577235772009055,0.6178381665383287,6.458333333333333,validation,default_0.5,0.5,0.5
400,trend_shift,20,40.0,16,25,104,217,0.39024390234384293,0.13333333332222222,0.19875776015431507,0.8966942148389796,0.5150137740806009,9.1875,validation,default_0.5,0.5,0.5
400,point_anomaly,20,,45,97,6,201,0.3169014084283872,0.8823529410034602,0.4663212395865661,0.6744966442726679,0.7784247926380641,0.0,validation,default_0.5,0.5,0.5
400,collective_anomaly,20,,88,36,12,197,0.7096774192976067,0.8799999999120001,0.7857142807015308,0.8454935621954723,0.8627467810537361,1.875,validation,default_0.5,0.5,0.5
800,mean_shift,40,80.0,57,28,73,209,0.6705882352152249,0.4384615384278106,0.5302325533092482,0.8818565400471791,0.6601590392374949,7.894736842105263,validation,default_0.5,0.5,0.5
800,variance_shift,40,80.0,57,30,72,217,0.6551724137177963,0.4418604650820263,0.5277777729179527,0.8785425100858889,0.6602014875839576,12.017543859649123,validation,default_0.5,0.5,0.5
800,trend_shift,40,80.0,18,57,108,206,0.23999999996800003,0.142857142845805,0.17910447291601708,0.7832699619474042,0.46306355239660457,19.333333333333332,validation,default_0.5,0.5,0.5
800,point_anomaly,40,,48,151,4,179,0.24120603013863284,0.9230769228994082,0.38247011620640947,0.5424242424078053,0.7327505826536067,0.0,validation,default_0.5,0.5,0.5
800,collective_anomaly,40,,98,133,2,166,0.4242424242240588,0.979999999902,0.5921450108531322,0.5551839464697262,0.7675919731858631,2.4591836734693877,validation,default_0.5,0.5,0.5
1200,mean_shift,60,120.0,60,32,66,206,0.6521739129725899,0.47619047615268334,0.5504587106674523,0.8655462184510274,0.6708683473018554,9.9,validation,default_0.5,0.5,0.5
1200,variance_shift,60,120.0,67,27,63,212,0.7127659573709824,0.5153846153449704,0.5982142807900191,0.8870292886658147,0.7012069520053925,14.701492537313433,validation,default_0.5,0.5,0.5
1200,trend_shift,60,120.0,24,52,97,213,0.3157894736426593,0.1983471074216242,0.24365481757118201,0.8037735848753292,0.5010603461484767,29.208333333333332,validation,default_0.5,0.5,0.5
1200,point_anomaly,60,,46,223,3,161,0.17100371746576193,0.9387755100124948,0.289308173475535,0.4192708333224148,0.6790231716674549,0.0,validation,default_0.5,0.5,0.5
1200,collective_anomaly,60,,96,220,4,163,0.3037974683448165,0.9599999999040001,0.46153845786427516,0.42558746735181235,0.6927937336279062,4.864583333333333,validation,default_0.5,0.5,0.5
400,mean_shift,20,40.0,18,30,101,210,0.374999999921875,0.15126050418896972,0.21556885815339388,0.8749999999635416,0.5131302520762556,9.833333333333334,ood_params,default_0.5,0.5,0.5
400,variance_shift,20,40.0,17,37,104,210,0.3148148147565158,0.14049586775698383,0.1942857099964083,0.8502024291153764,0.4953491484361801,6.882352941176471,ood_params,default_0.5,0.5,0.5
400,trend_shift,20,40.0,5,30,116,213,0.14285714281632653,0.04132231404617171,0.06410256061390553,0.8765432098404714,0.45893276194332155,11.0,ood_params,default_0.5,0.5,0.5
