length,event,tolerance_points,shift_min_persistence,tp,fp,fn,tn,start_precision,start_recall,start_f1,start_specificity,start_balanced_accuracy,mean_abs_start_error,dataset,setting,point_anomaly_threshold,collective_anomaly_threshold
400,mean_shift,20,40.0,43,28,83,213,0.605633802731601,0.3412698412427564,0.43654821869566346,0.8838174273492192,0.6125436342959878,5.930232558139535,validation,tuned,0.9200000000000003,0.9400000000000002
400,variance_shift,20,40.0,48,35,79,211,0.5783132529423719,0.3779527558757518,0.45714285231882096,0.8577235772009055,0.6178381665383287,6.458333333333333,validation,tuned,0.9200000000000003,0.9400000000000002
400,trend_shift,20,40.0,16,25,104,217,0.39024390234384293,0.13333333332222222,0.19875776015431507,0.8966942148389796,0.5150137740806009,9.1875,validation,tuned,0.9200000000000003,0.9400000000000002
400,point_anomaly,20,,34,21,17,250,0.6181818180694215,0.6666666665359477,0.6415094288483447,0.92250922505821,0.7945879457970788,0.0,validation,tuned,0.9200000000000003,0.9400000000000002
400,collective_anomaly,20,,79,10,21,218,0.8876404493384674,0.789999999921,0.8359788309073095,0.956140350835257,0.8730701753781285,1.7848101265822784,validation,tuned,0.9200000000000003,0.9400000000000002
800,mean_shift,40,80.0,57,28,73,209,0.6705882352152249,0.4384615384278106,0.5302325533092482,0.8818565400471791,0.6601590392374949,7.894736842105263,validation,tuned,0.9200000000000003,0.9400000000000002
800,variance_shift,40,80.0,57,30,72,217,0.6551724137177963,0.4418604650820263,0.5277777729179527,0.8785425100858889,0.6602014875839576,12.017543859649123,validation,tuned,0.9200000000000003,0.9400000000000002
800,trend_shift,40,80.0,18,57,108,206,0.23999999996800003,0.142857142845805,0.17910447291601708,0.7832699619474042,0.46306355239660457,19.333333333333332,validation,tuned,0.9200000000000003,0.9400000000000002
800,point_anomaly,40,,45,33,7,240,0.5769230768491125,0.8653846152181952,0.6923076874011835,0.8791208790886769,0.872252747153436,0.0,validation,tuned,0.9200000000000003,0.9400000000000002
800,collective_anomaly,40,,95,14,5,218,0.8715596329475633,0.9499999999050001,0.9090909040131866,0.9396551723732907,0.9448275861391453,2.1578947368421053,validation,tuned,0.9200000000000003,0.9400000000000002
1200,mean_shift,60,120.0,60,32,66,206,0.6521739129725899,0.47619047615268334,0.5504587106674523,0.8655462184510274,0.6708683473018554,9.9,validation,tuned,0.9200000000000003,0.9400000000000002
1200,variance_shift,60,120.0,67,27,63,212,0.7127659573709824,0.5153846153449704,0.5982142807900191,0.8870292886658147,0.7012069520053925,14.701492537313433,validation,tuned,0.9200000000000003,0.9400000000000002
1200,trend_shift,60,120.0,24,52,97,213,0.3157894736426593,0.1983471074216242,0.24365481757118201,0.8037735848753292,0.5010603461484767,29.208333333333332,validation,tuned,0.9200000000000003,0.9400000000000002
1200,point_anomaly,60,,37,52,12,240,0.41573033703194046,0.7551020406622241,0.5362318794003362,0.8219178081910302,0.7885099244266272,0.0,validation,tuned,0.9200000000000003,0.9400000000000002
1200,collective_anomaly,60,,93,39,7,205,0.7045454544920798,0.9299999999070001,0.8017241329570453,0.8401639343917965,0.8850819671493984,2.752688172043011,validation,tuned,0.9200000000000003,0.9400000000000002
400,mean_shift,20,40.0,18,30,101,210,0.374999999921875,0.15126050418896972,0.21556885815339388,0.8749999999635416,0.5131302520762556,9.833333333333334,ood_params,tuned,0.9200000000000003,0.9400000000000002
400,variance_shift,20,40.0,17,37,104,210,0.3148148147565158,0.14049586775698383,0.1942857099964083,0.8502024291153764,0.4953491484361801,6.882352941176471,ood_params,tuned,0.9200000000000003,0.9400000000000002
400,trend_shift,20,40.0,5,30,116,213,0.14285714281632653,0.04132231404617171,0.06410256061390553,0.8765432098404714,0.45893276194332155,11.0,ood_params,tuned,0.9200000000000003,0.9400000000000002
400,point_anomaly,20,,0,15,52,257,0.0,0.0,0.0,0.9448529411417333,0.4724264705708667,,ood_params,tuned,0.9200000000000003,0.9400000000000002
400,collective_anomaly,20,,103,14,25,219,0.8803418802666375,0.8046874999371337,0.8408163214720533,0.939914163049789,0.8723008314934614,3.970873786407767,ood_params,tuned,0.9200000000000003,0.9400000000000002
800,mean_shift,40,80.0,40,31,81,207,0.5633802816107916,0.3305785123693737,0.4166666619623482,0.8697478991231198,0.6001632057462467,12.875,ood_params,tuned,0.9200000000000003,0.9400000000000002
800,variance_shift,40,80.0,26,27,106,212,0.49056603764328943,0.196969696954775,0.2810810769624544,0.8870292886658147,0.5419994928102948,14.307692307692308,ood_params,tuned,0.9200000000000003,0.9400000000000002
800,trend_shift,40,80.0,8,58,115,200,0.12121212119375575,0.0650406504012162,0.08465608010190111,0.7751937984195661,0.4201172244103912,18.25,ood_params,tuned,0.9200000000000003,0.9400000000000002
800,point_anomaly,40,,2,17,55,250,0.10526315783933518,0.035087719292089876,0.05263157518351828,0.9363295879799127,0.4857086536360013,0.0,ood_params,tuned,0.9200000000000003,0.9400000000000002
800,collective_anomaly,40,,115,23,3,213,0.8333333332729468,0.9745762711038495,0.8984374949603272,0.9025423728431126,0.938559321973481,4.252173913043478,ood_params,tuned,0.9200000000000003,0.9400000000000002
1200,mean_shift,60,120.0,45,53,70,197,0.4591836734225323,0.3913043477920605,0.4225352062597809,0.78799999996848,0.5896521738802702,17.155555555555555,ood_params,tuned,0.9200000000000003,0.9400000000000002
1200,variance_shift,60,120.0,35,26,87,212,0.5737704917092179,0.2868852458781242,0.3825136567159366,0.8907563024835816,0.5888207741808529,21.857142857142858,ood_params,tuned,0.9200000000000003,0.9400000000000002
1200,trend_shift,60,120.0,13,59,107,202,0.18055555553047842,0.10833333332430556,0.13541666196506094,0.7739463601236035,0.44113984672395457,28.076923076923077,ood_params,tuned,0.9200000000000003,0.9400000000000002
1200,point_anomaly,60,,3,15,40,263,0.16666666657407406,0.06976744184424012,0.09836065154528369,0.9460431654335956,0.5079053036389178,18.666666666666668,ood_params,tuned,0.9200000000000003,0.9400000000000002
1200,collective_anomaly,60,,123,39,1,208,0.7592592592123913,0.991935483790973,0.8601398551679789,0.8421052631238014,0.9170203734573872,4.2682926829268295,ood_params,tuned,0.9200000000000003,0.9400000000000002
400,mean_shift,20,40.0,16,22,110,209,0.42105263146814403,0.12698412697404887,0.19512194763533613,0.9047619047227375,0.5158730158483932,7.375,ood_background,tuned,0.9200000000000003,0.9400000000000002
400,variance_shift,20,40.0,16,36,111,203,0.3076923076331361,0.12598425195858393,0.1787709455784777,0.8493723849016999,0.48767831843014187,6.4375,ood_background,tuned,0.9200000000000003,0.9400000000000002
400,trend_shift,20,40.0,4,53,121,193,0.07017543858417975,0.03199999999744,0.04395603964919738,0.7845528454965629,0.40827642274700143,4.5,ood_background,tuned,0.9200000000000003,0.9400000000000002
400,point_anomaly,20,,34,28,22,243,0.548387096685744,0.6071428570344388,0.5762711813559324,0.8966789667565801,0.7519109118955094,0.0,ood_background,tuned,0.9200000000000003,0.9400000000000002
400,collective_anomaly,20,,70,8,30,219,0.8974358973208416,0.6999999999300001,0.7865168489205909,0.9647577092086009,0.8323788545693005,2.857142857142857,ood_background,tuned,0.9200000000000003,0.9400000000000002
800,mean_shift,40,80.0,27,66,92,181,0.29032258061394384,0.22689075628345456,0.25471697618325034,0.7327935222375387,0.4798421392604966,12.88888888888889,ood_background,tuned,0.9200000000000003,0.9400000000000002
