length,event,tolerance_points,shift_min_persistence,tp,fp,fn,tn,start_precision,start_recall,start_f1,start_specificity,start_balanced_accuracy,mean_abs_start_error,dataset,setting,point_anomaly_threshold,collective_anomaly_threshold
400,mean_shift,20,40.0,46,38,50,147,0.5476190475538549,0.4791666666167535,0.5111111060765433,0.7945945945516435,0.6368806305841985,6.260869565217392,validation,default_0.5,0.5,0.5
400,variance_shift,20,40.0,35,38,65,155,0.4794520547288422,0.34999999996500003,0.4046242725316584,0.8031088082485436,0.5765544041067718,7.314285714285714,validation,default_0.5,0.5,0.5
400,trend_shift,20,40.0,19,38,73,155,0.3333333332748538,0.20652173910798677,0.2550335522886357,0.8031088082485436,0.5048152736782652,8.842105263157896,validation,default_0.5,0.5,0.5
400,point_anomaly,20,,26,79,9,156,0.24761904759546488,0.742857142644898,0.37142856762551024,0.6638297872057944,0.7033434649253463,0.0,validation,default_0.5,0.5,0.5
400,collective_anomaly,20,,64,28,11,150,0.6956521738374292,0.8533333332195556,0.7664670608282835,0.8426966291661406,0.8480149811928481,2.359375,validation,default_0.5,0.5,0.5
800,mean_shift,40,80.0,51,32,40,154,0.6144578312512702,0.5604395603779737,0.5862068914949137,0.8279569892027979,0.6941982747903859,5.9411764705882355,validation,default_0.5,0.5,0.5
800,variance_shift,40,80.0,43,38,52,156,0.5308641974653254,0.452631578899723,0.4886363586124742,0.8041237112987565,0.6283776450992398,13.69767441860465,validation,default_0.5,0.5,0.5
800,trend_shift,40,80.0,15,41,77,156,0.2678571428093112,0.16304347824314747,0.20270269797114693,0.7918781725486356,0.4774608253958915,19.933333333333334,validation,default_0.5,0.5,0.5
800,point_anomaly,40,,30,122,6,153,0.1973684210396468,0.8333333331018519,0.31914893303983705,0.5563636363434049,0.6948484847226284,0.8333333333333334,validation,default_0.5,0.5,0.5
800,collective_anomaly,40,,72,50,3,139,0.5901639343778554,0.9599999998720001,0.7309644622154655,0.7354497354108227,0.8477248676414114,2.763888888888889,validation,default_0.5,0.5,0.5
1200,mean_shift,60,120.0,53,35,45,150,0.6022727272042873,0.540816326475427,0.5698924680714534,0.8108108107669831,0.675813568621205,10.566037735849056,validation,default_0.5,0.5,0.5
1200,variance_shift,60,120.0,45,31,46,157,0.5921052630799862,0.49450549445115327,0.5389221506644198,0.8351063829343028,0.6648059386927281,15.977777777777778,validation,default_0.5,0.5,0.5
1200,trend_shift,60,120.0,20,29,74,157,0.4081632652228238,0.21276595742417384,0.2797202751762923,0.8440860214599953,0.5284259894420846,25.3,validation,default_0.5,0.5,0.5
1200,point_anomaly,60,,35,199,5,123,0.14957264956625757,0.87499999978125,0.25547445004262354,0.3819875776278886,0.6284937887045693,0.0,validation,default_0.5,0.5,0.5
1200,collective_anomaly,60,,72,126,3,125,0.36363636361799817,0.9599999998720001,0.5274725234488589,0.4980079681076491,0.7290039839898246,2.5277777777777777,validation,default_0.5,0.5,0.5
400,mean_shift,20,40.0,37,40,59,144,0.48051948045707543,0.38541666662651913,0.42774565975074347,0.7826086956096407,0.5840126811180799,6.378378378378378,ood_params,default_0.5,0.5,0.5
400,variance_shift,20,40.0,15,28,77,155,0.34883720922120065,0.16304347824314747,0.22222221784801105,0.8469945354728418,0.5050190068579946,8.6,ood_params,default_0.5,0.5,0.5
400,trend_shift,20,40.0,6,50,88,146,0.10714285712372448,0.06382978722725216,0.0799999953102225,0.7448979591456685,0.40436387318646033,9.333333333333334,ood_params,default_0.5,0.5,0.5
400,point_anomaly,20,,4,32,27,183,0.1111111110802469,0.1290322580228928,0.11940298006683023,0.8511627906580854,0.49009752434048914,0.0,ood_params,default_0.5,0.5,0.5
400,collective_anomaly,20,,87,33,4,149,0.7249999999395834,0.9560439559388964,0.8246445447793177,0.8186813186363362,0.8873626372876162,2.9310344827586206,ood_params,default_0.5,0.5,0.5
800,mean_shift,40,80.0,36,32,58,151,0.5294117646280277,0.3829787233635129,0.44444443951836615,0.8251366119767685,0.6040576676701407,9.75,ood_params,default_0.5,0.5,0.5
800,variance_shift,40,80.0,19,37,77,154,0.33928571422512754,0.19791666664605037,0.24999999531336575,0.8062827224708752,0.5020996945584628,14.421052631578947,ood_params,default_0.5,0.5,0.5
800,trend_shift,40,80.0,12,46,79,140,0.2068965516884661,0.13186813185364088,0.16107382072699444,0.7526881720025436,0.4422781519280922,25.666666666666668,ood_params,default_0.5,0.5,0.5
800,point_anomaly,40,,7,47,23,177,0.12962962960562413,0.23333333325555555,0.16666666203514752,0.7901785713932956,0.5117559523244256,0.0,ood_params,default_0.5,0.5,0.5
800,collective_anomaly,40,,83,78,3,130,0.5155279502785386,0.9651162789575447,0.6720647727345146,0.6249999999699519,0.7950581394637484,2.602409638554217,ood_params,default_0.5,0.5,0.5
1200,mean_shift,60,120.0,31,33,60,154,0.48437499992431643,0.3406593406219056,0.39999999510010414,0.8235294117206668,0.5820943761712862,12.96774193548387,ood_params,default_0.5,0.5,0.5
1200,variance_shift,60,120.0,13,36,85,157,0.2653061223948355,0.13265306121095377,0.17687074383081133,0.8134715025485247,0.47306228187973925,20.076923076923077,ood_params,default_0.5,0.5,0.5
1200,trend_shift,60,120.0,10,46,87,146,0.1785714285395408,0.10309278349452652,0.13071894959032868,0.7604166666270616,0.4317547250607941,31.7,ood_params,default_0.5,0.5,0.5
1200,point_anomaly,60,,4,73,29,160,0.05194805194130545,0.12121212117539026,0.07272726851404984,0.6866952789404852,0.40395370005793774,12.75,ood_params,default_0.5,0.5,0.5
1200,collective_anomaly,60,,89,72,1,127,0.5527950310215655,0.9888888887790124,0.7091633419571118,0.6381909547417994,0.8135399217604059,1.9775280898876404,ood_params,default_0.5,0.5,0.5
400,mean_shift,20,40.0,17,68,74,120,0.1999999999764706,0.1868131867926579,0.1931818131656768,0.6382978723064735,0.4125555295495657,6.764705882352941,ood_background,default_0.5,0.5,0.5
400,variance_shift,20,40.0,12,26,87,157,0.31578947360110804,0.12121212119987756,0.17518247771751302,0.8579234972208785,0.489567809210378,9.666666666666666,ood_background,default_0.5,0.5,0.5
400,trend_shift,20,40.0,7,50,96,150,0.12280701752231456,0.06796116504194552,0.08749999540234399,0.7499999999625,0.40898058250222274,7.857142857142857,ood_background,default_0.5,0.5,0.5
400,point_anomaly,20,,32,82,5,154,0.280701754361342,0.8648648646311176,0.4238410558466735,0.6525423728537058,0.7587036187424117,0.0,ood_background,default_0.5,0.5,0.5
400,collective_anomaly,20,,54,38,21,143,0.5869565216753309,0.7199999999040001,0.6467065818007102,0.790055248575135,0.7550276242395675,3.0185185185185186,ood_background,default_0.5,0.5,0.5
800,mean_shift,40,80.0,22,100,68,116,0.18032786883767804,0.24444444441728397,0.2075471649056605,0.5370370370121742,0.3907407407147291,8.136363636363637,ood_background,default_0.5,0.5,0.5
800,variance_shift,40,80.0,23,50,67,138,0.3150684931075249,0.2555555555271605,0.2822085839768152,0.7340425531524445,0.49479905433980254,16.391304347826086,ood_background,default_0.5,0.5,0.5
800,trend_shift,40,80.0,8,73,89,132,0.09876543208657218,0.08247422679562122,0.08988763547973769,0.6439024389929804,0.3631883328943008,14.125,ood_background,default_0.5,0.5,0.5
800,point_anomaly,40,,30,140,7,151,0.1764705882249135,0.8108108105916727,0.2898550694998716,0.51890034362478,0.6648555771082263,0.0,ood_background,default_0.5,0.5,0.5
800,collective_anomaly,40,,65,57,10,138,0.5327868852022306,0.8666666665511111,0.6598984723749647,0.7076923076560158,0.7871794871035634,3.4461538461538463,ood_background,default_0.5,0.5,0.5
1200,mean_shift,60,120.0,26,99,65,107,0.20799999998336002,0.28571428568288854,0.24074073584233552,0.5194174757029408,0.40256588069291466,9.615384615384615,ood_background,default_0.5,0.5,0.5
1200,variance_shift,60,120.0,13,50,81,140,0.2063492063164525,0.138297872325713,0.16560509071524215,0.7368421052243767,0.4375699887750448,20.846153846153847,ood_background,default_0.5,0.5,0.5
1200,trend_shift,60,120.0,8,58,79,137,0.12121212119375575,0.09195402297793633,0.10457515847921763,0.7025641025280736,0.39725906275300493,34.625,ood_background,default_0.5,0.5,0.5
1200,point_anomaly,60,,28,218,8,139,0.11382113820675524,0.7777777775617284,0.198581558042352,0.38935574228601244,0.5835667599238704,0.0,ood_background,default_0.5,0.5,0.5
1200,collective_anomaly,60,,68,119,7,121,0.3636363636169178,0.9066666665457779,0.5190839653397239,0.5041666666456597,0.7054166665957188,3.3823529411764706,ood_background,default_0.5,0.5,0.5
400,mean_shift,20,40.0,46,38,50,147,0.5476190475538549,0.4791666666167535,0.5111111060765433,0.7945945945516435,0.6368806305841985,6.260869565217392,validation,tuned,0.9300000000000002,0.9500000000000002
400,variance_shift,20,40.0,35,38,65,155,0.4794520547288422,0.34999999996500003,0.4046242725316584,0.8031088082485436,0.5765544041067718,7.314285714285714,validation,tuned,0.9300000000000002,0.9500000000000002
400,trend_shift,20,40.0,19,38,73,155,0.3333333332748538,0.20652173910798677,0.2550335522886357,0.8031088082485436,0.5048152736782652,8.842105263157896,validation,tuned,0.9300000000000002,0.9500000000000002
400,point_anomaly,20,,16,27,19,183,0.37209302316928067,0.4571428570122449,0.4102564052038133,0.8714285713870747,0.6642857141996599,0.0,validation,tuned,0.9300000000000002,0.9500000000000002
400,collective_anomaly,20,,62,13,13,162,0.8266666665564445,0.8266666665564445,0.8266666615564445,0.9257142856613877,0.8761904761089161,1.9516129032258065,validation,tuned,0.9300000000000002,0.9500000000000002
800,mean_shift,40,80.0,51,32,40,154,0.6144578312512702,0.5604395603779737,0.5862068914949137,0.8279569892027979,0.6941982747903859,5.9411764705882355,validation,tuned,0.9300000000000002,0.9500000000000002
800,variance_shift,40,80.0,43,38,52,156,0.5308641974653254,0.452631578899723,0.4886363586124742,0.8041237112987565,0.6283776450992398,13.69767441860465,validation,tuned,0.9300000000000002,0.9500000000000002
800,trend_shift,40,80.0,15,41,77,156,0.2678571428093112,0.16304347824314747,0.20270269797114693,0.7918781725486356,0.4774608253958915,19.933333333333334,validation,tuned,0.9300000000000002,0.9500000000000002
800,point_anomaly,40,,21,28,15,189,0.428571428483965,0.5833333331712963,0.49411764205951564,0.8709677418953471,0.7271505375333217,0.0,validation,tuned,0.9300000000000002,0.9500000000000002
800,collective_anomaly,40,,71,11,4,162,0.8658536584309935,0.9466666665404445,0.9044585936208367,0.9364161849169701,0.9415414257287074,2.3661971830985915,validation,tuned,0.9300000000000002,0.9500000000000002
1200,mean_shift,60,120.0,53,35,45,150,0.6022727272042873,0.540816326475427,0.5698924680714534,0.8108108107669831,0.675813568621205,10.566037735849056,validation,tuned,0.9300000000000002,0.9500000000000002
1200,variance_shift,60,120.0,45,31,46,157,0.5921052630799862,0.49450549445115327,0.5389221506644198,0.8351063829343028,0.6648059386927281,15.977777777777778,validation,tuned,0.9300000000000002,0.9500000000000002
1200,trend_shift,60,120.0,20,29,74,157,0.4081632652228238,0.21276595742417384,0.2797202751762923,0.8440860214599953,0.5284259894420846,25.3,validation,tuned,0.9300000000000002,0.9500000000000002
1200,point_anomaly,60,,30,45,10,177,0.3999999999466667,0.7499999998125,0.5217391258071834,0.797297297261383,0.7736486485369415,0.0,validation,tuned,0.9300000000000002,0.9500000000000002
1200,collective_anomaly,60,,71,33,4,157,0.6826923076266642,0.9466666665404445,0.7932960844280768,0.8263157894301939,0.8864912279853192,2.0,validation,tuned,0.9300000000000002,0.9500000000000002
400,mean_shift,20,40.0,37,40,59,144,0.48051948045707543,0.38541666662651913,0.42774565975074347,0.7826086956096407,0.5840126811180799,6.378378378378378,ood_params,tuned,0.9300000000000002,0.9500000000000002
400,variance_shift,20,40.0,15,28,77,155,0.34883720922120065,0.16304347824314747,0.22222221784801105,0.8469945354728418,0.5050190068579946,8.6,ood_params,tuned,0.9300000000000002,0.9500000000000002
400,trend_shift,20,40.0,6,50,88,146,0.10714285712372448,0.06382978722725216,0.0799999953102225,0.7448979591456685,0.40436387318646033,9.333333333333334,ood_params,tuned,0.9300000000000002,0.9500000000000002
400,point_anomaly,20,,2,4,29,207,0.33333333277777777,0.0645161290114464,0.10810810533235944,0.981042653981941,0.5227793914966937,0.0,ood_params,tuned,0.9300000000000002,0.9500000000000002
400,collective_anomaly,20,,74,8,17,163,0.9024390242801904,0.813186813097452,0.8554913243944001,0.9532163742132621,0.883201593655357,3.391891891891892,ood_params,tuned,0.9300000000000002,0.9500000000000002
800,mean_shift,40,80.0,36,32,58,151,0.5294117646280277,0.3829787233635129,0.44444443951836615,0.8251366119767685,0.6040576676701407,9.75,ood_params,tuned,0.9300000000000002,0.9500000000000002
800,variance_shift,40,80.0,19,37,77,154,0.33928571422512754,0.19791666664605037,0.24999999531336575,0.8062827224708752,0.5020996945584628,14.421052631578947,ood_params,tuned,0.9300000000000002,0.9500000000000002
800,trend_shift,40,80.0,12,46,79,140,0.2068965516884661,0.13186813185364088,0.16107382072699444,0.7526881720025436,0.4422781519280922,25.666666666666668,ood_params,tuned,0.9300000000000002,0.9500000000000002
800,point_anomaly,40,,2,6,28,205,0.24999999968749997,0.06666666664444444,0.10526315451523556,0.9715639809966083,0.5191153238205264,0.0,ood_params,tuned,0.9300000000000002,0.9500000000000002
800,collective_anomaly,40,,80,24,6,158,0.7692307691568048,0.9302325580313684,0.8421052581141275,0.8681318680841685,0.8991822130577685,2.325,ood_params,tuned,0.9300000000000002,0.9500000000000002
1200,mean_shift,60,120.0,31,33,60,154,0.48437499992431643,0.3406593406219056,0.39999999510010414,0.8235294117206668,0.5820943761712862,12.96774193548387,ood_params,tuned,0.9300000000000002,0.9500000000000002
1200,variance_shift,60,120.0,13,36,85,157,0.2653061223948355,0.13265306121095377,0.17687074383081133,0.8134715025485247,0.47306228187973925,20.076923076923077,ood_params,tuned,0.9300000000000002,0.9500000000000002
1200,trend_shift,60,120.0,10,46,87,146,0.1785714285395408,0.10309278349452652,0.13071894959032868,0.7604166666270616,0.4317547250607941,31.7,ood_params,tuned,0.9300000000000002,0.9500000000000002
1200,point_anomaly,60,,1,13,32,198,0.07142857137755101,0.030303030293847566,0.042553187288366184,0.9383886255479437,0.48434582792089564,0.0,ood_params,tuned,0.9300000000000002,0.9500000000000002
1200,collective_anomaly,60,,89,23,1,157,0.794642857071907,0.9888888887790124,0.881188113783943,0.8722222221737654,0.9305555554763889,1.9213483146067416,ood_params,tuned,0.9300000000000002,0.9500000000000002
400,mean_shift,20,40.0,17,68,74,120,0.1999999999764706,0.1868131867926579,0.1931818131656768,0.6382978723064735,0.4125555295495657,6.764705882352941,ood_background,tuned,0.9300000000000002,0.9500000000000002
400,variance_shift,20,40.0,12,26,87,157,0.31578947360110804,0.12121212119987756,0.17518247771751302,0.8579234972208785,0.489567809210378,9.666666666666666,ood_background,tuned,0.9300000000000002,0.9500000000000002
400,trend_shift,20,40.0,7,50,96,150,0.12280701752231456,0.06796116504194552,0.08749999540234399,0.7499999999625,0.40898058250222274,7.857142857142857,ood_background,tuned,0.9300000000000002,0.9500000000000002
400,point_anomaly,20,,23,26,14,184,0.4693877550062474,0.6216216214536158,0.5348837159031911,0.8761904761487528,0.7489060488011843,0.0,ood_background,tuned,0.9300000000000002,0.9500000000000002
400,collective_anomaly,20,,49,8,26,163,0.8596491226562019,0.6533333332462222,0.7424242374047292,0.9532163742132621,0.8032748537297422,2.857142857142857,ood_background,tuned,0.9300000000000002,0.9500000000000002
800,mean_shift,40,80.0,22,100,68,116,0.18032786883767804,0.24444444441728397,0.2075471649056605,0.5370370370121742,0.3907407407147291,8.136363636363637,ood_background,tuned,0.9300000000000002,0.9500000000000002
