dataset,length,event,point_anomaly_threshold_default,point_anomaly_threshold_tuned,collective_anomaly_threshold_default,collective_anomaly_threshold_tuned,start_precision_default,start_precision_tuned,start_precision_change,start_recall_default,start_recall_tuned,start_recall_change,start_f1_default,start_f1_tuned,start_f1_change,fp_default,fp_tuned,fp_change,fn_default,fn_tuned,fn_change,mean_abs_start_error_default,mean_abs_start_error_tuned,mean_abs_start_error_change
validation,400,mean_shift,0.5,0.9300000000000002,0.5,0.9500000000000002,0.5476190475538549,0.5476190475538549,0.0,0.4791666666167535,0.4791666666167535,0.0,0.5111111060765433,0.5111111060765433,0.0,38,38,0,50,50,0,6.260869565217392,6.260869565217392,0.0
validation,400,variance_shift,0.5,0.9300000000000002,0.5,0.9500000000000002,0.4794520547288422,0.4794520547288422,0.0,0.34999999996500003,0.34999999996500003,0.0,0.4046242725316584,0.4046242725316584,0.0,38,38,0,65,65,0,7.314285714285714,7.314285714285714,0.0
validation,400,trend_shift,0.5,0.9300000000000002,0.5,0.9500000000000002,0.3333333332748538,0.3333333332748538,0.0,0.20652173910798677,0.20652173910798677,0.0,0.2550335522886357,0.2550335522886357,0.0,38,38,0,73,73,0,8.842105263157896,8.842105263157896,0.0
validation,400,point_anomaly,0.5,0.9300000000000002,0.5,0.9500000000000002,0.24761904759546488,0.37209302316928067,0.12447397557381579,0.742857142644898,0.4571428570122449,-0.2857142856326531,0.37142856762551024,0.4102564052038133,0.03882783757830305,79,27,-52,9,19,10,0.0,0.0,0.0
validation,400,collective_anomaly,0.5,0.9300000000000002,0.5,0.9500000000000002,0.6956521738374292,0.8266666665564445,0.13101449271901533,0.8533333332195556,0.8266666665564445,-0.026666666663111127,0.7664670608282835,0.8266666615564445,0.060199600728160996,28,13,-15,11,13,2,2.359375,1.9516129032258065,-0.4077620967741935
validation,800,mean_shift,0.5,0.9300000000000002,0.5,0.9500000000000002,0.6144578312512702,0.6144578312512702,0.0,0.5604395603779737,0.5604395603779737,0.0,0.5862068914949137,0.5862068914949137,0.0,32,32,0,40,40,0,5.9411764705882355,5.9411764705882355,0.0
validation,800,variance_shift,0.5,0.9300000000000002,0.5,0.9500000000000002,0.5308641974653254,0.5308641974653254,0.0,0.452631578899723,0.452631578899723,0.0,0.4886363586124742,0.4886363586124742,0.0,38,38,0,52,52,0,13.69767441860465,13.69767441860465,0.0
validation,800,trend_shift,0.5,0.9300000000000002,0.5,0.9500000000000002,0.2678571428093112,0.2678571428093112,0.0,0.16304347824314747,0.16304347824314747,0.0,0.20270269797114693,0.20270269797114693,0.0,41,41,0,77,77,0,19.933333333333334,19.933333333333334,0.0
validation,800,point_anomaly,0.5,0.9300000000000002,0.5,0.9500000000000002,0.1973684210396468,0.428571428483965,0.2312030074443182,0.8333333331018519,0.5833333331712963,-0.24999999993055555,0.31914893303983705,0.49411764205951564,0.1749687090196786,122,28,-94,6,15,9,0.8333333333333334,0.0,-0.8333333333333334
validation,800,collective_anomaly,0.5,0.9300000000000002,0.5,0.9500000000000002,0.5901639343778554,0.8658536584309935,0.2756897240531381,0.9599999998720001,0.9466666665404445,-0.013333333331555619,0.7309644622154655,0.9044585936208367,0.17349413140537118,50,11,-39,3,4,1,2.763888888888889,2.3661971830985915,-0.39769170579029733
validation,1200,mean_shift,0.5,0.9300000000000002,0.5,0.9500000000000002,0.6022727272042873,0.6022727272042873,0.0,0.540816326475427,0.540816326475427,0.0,0.5698924680714534,0.5698924680714534,0.0,35,35,0,45,45,0,10.566037735849056,10.566037735849056,0.0
validation,1200,variance_shift,0.5,0.9300000000000002,0.5,0.9500000000000002,0.5921052630799862,0.5921052630799862,0.0,0.49450549445115327,0.49450549445115327,0.0,0.5389221506644198,0.5389221506644198,0.0,31,31,0,46,46,0,15.977777777777778,15.977777777777778,0.0
validation,1200,trend_shift,0.5,0.9300000000000002,0.5,0.9500000000000002,0.4081632652228238,0.4081632652228238,0.0,0.21276595742417384,0.21276595742417384,0.0,0.2797202751762923,0.2797202751762923,0.0,29,29,0,74,74,0,25.3,25.3,0.0
validation,1200,point_anomaly,0.5,0.9300000000000002,0.5,0.9500000000000002,0.14957264956625757,0.3999999999466667,0.2504273503804091,0.87499999978125,0.7499999998125,-0.12499999996875,0.25547445004262354,0.5217391258071834,0.26626467576455987,199,45,-154,5,10,5,0.0,0.0,0.0
validation,1200,collective_anomaly,0.5,0.9300000000000002,0.5,0.9500000000000002,0.36363636361799817,0.6826923076266642,0.31905594400866605,0.9599999998720001,0.9466666665404445,-0.013333333331555619,0.5274725234488589,0.7932960844280768,0.2658235609792179,126,33,-93,3,4,1,2.5277777777777777,2.0,-0.5277777777777777
ood_params,400,mean_shift,0.5,0.9300000000000002,0.5,0.9500000000000002,0.48051948045707543,0.48051948045707543,0.0,0.38541666662651913,0.38541666662651913,0.0,0.42774565975074347,0.42774565975074347,0.0,40,40,0,59,59,0,6.378378378378378,6.378378378378378,0.0
ood_params,400,variance_shift,0.5,0.9300000000000002,0.5,0.9500000000000002,0.34883720922120065,0.34883720922120065,0.0,0.16304347824314747,0.16304347824314747,0.0,0.22222221784801105,0.22222221784801105,0.0,28,28,0,77,77,0,8.6,8.6,0.0
ood_params,400,trend_shift,0.5,0.9300000000000002,0.5,0.9500000000000002,0.10714285712372448,0.10714285712372448,0.0,0.06382978722725216,0.06382978722725216,0.0,0.0799999953102225,0.0799999953102225,0.0,50,50,0,88,88,0,9.333333333333334,9.333333333333334,0.0
ood_params,400,point_anomaly,0.5,0.9300000000000002,0.5,0.9500000000000002,0.1111111110802469,0.33333333277777777,0.22222222169753086,0.1290322580228928,0.0645161290114464,-0.0645161290114464,0.11940298006683023,0.10810810533235944,-0.011294874734470786,32,4,-28,27,29,2,0.0,0.0,0.0
ood_params,400,collective_anomaly,0.5,0.9300000000000002,0.5,0.9500000000000002,0.7249999999395834,0.9024390242801904,0.177439024340607,0.9560439559388964,0.813186813097452,-0.14285714284144435,0.8246445447793177,0.8554913243944001,0.03084677961508242,33,8,-25,4,17,13,2.9310344827586206,3.391891891891892,0.46085740913327156
ood_params,800,mean_shift,0.5,0.9300000000000002,0.5,0.9500000000000002,0.5294117646280277,0.5294117646280277,0.0,0.3829787233635129,0.3829787233635129,0.0,0.44444443951836615,0.44444443951836615,0.0,32,32,0,58,58,0,9.75,9.75,0.0
ood_params,800,variance_shift,0.5,0.9300000000000002,0.5,0.9500000000000002,0.33928571422512754,0.33928571422512754,0.0,0.19791666664605037,0.19791666664605037,0.0,0.24999999531336575,0.24999999531336575,0.0,37,37,0,77,77,0,14.421052631578947,14.421052631578947,0.0
ood_params,800,trend_shift,0.5,0.9300000000000002,0.5,0.9500000000000002,0.2068965516884661,0.2068965516884661,0.0,0.13186813185364088,0.13186813185364088,0.0,0.16107382072699444,0.16107382072699444,0.0,46,46,0,79,79,0,25.666666666666668,25.666666666666668,0.0
ood_params,800,point_anomaly,0.5,0.9300000000000002,0.5,0.9500000000000002,0.12962962960562413,0.24999999968749997,0.12037037008187584,0.23333333325555555,0.06666666664444444,-0.16666666661111113,0.16666666203514752,0.10526315451523556,-0.06140350751991196,47,6,-41,23,28,5,0.0,0.0,0.0
ood_params,800,collective_anomaly,0.5,0.9300000000000002,0.5,0.9500000000000002,0.5155279502785386,0.7692307691568048,0.2537028188782662,0.9651162789575447,0.9302325580313684,-0.03488372092617631,0.6720647727345146,0.8421052581141275,0.17004048537961292,78,24,-54,3,6,3,2.602409638554217,2.325,-0.27740963855421663
ood_params,1200,mean_shift,0.5,0.9300000000000002,0.5,0.9500000000000002,0.48437499992431643,0.48437499992431643,0.0,0.3406593406219056,0.3406593406219056,0.0,0.39999999510010414,0.39999999510010414,0.0,33,33,0,60,60,0,12.96774193548387,12.96774193548387,0.0
ood_params,1200,variance_shift,0.5,0.9300000000000002,0.5,0.9500000000000002,0.2653061223948355,0.2653061223948355,0.0,0.13265306121095377,0.13265306121095377,0.0,0.17687074383081133,0.17687074383081133,0.0,36,36,0,85,85,0,20.076923076923077,20.076923076923077,0.0
