length,event,tolerance_points,shift_min_persistence,tp,fp,fn,tn,start_precision,start_recall,start_f1,start_specificity,start_balanced_accuracy,mean_abs_start_error,dataset,setting,point_anomaly_threshold,collective_anomaly_threshold
400,mean_shift,20,40.0,46,38,50,147,0.5476190475538549,0.4791666666167535,0.5111111060765433,0.7945945945516435,0.6368806305841985,6.260869565217392,validation,tuned,0.9300000000000002,0.9500000000000002
400,variance_shift,20,40.0,35,38,65,155,0.4794520547288422,0.34999999996500003,0.4046242725316584,0.8031088082485436,0.5765544041067718,7.314285714285714,validation,tuned,0.9300000000000002,0.9500000000000002
400,trend_shift,20,40.0,19,38,73,155,0.3333333332748538,0.20652173910798677,0.2550335522886357,0.8031088082485436,0.5048152736782652,8.842105263157896,validation,tuned,0.9300000000000002,0.9500000000000002
400,point_anomaly,20,,16,27,19,183,0.37209302316928067,0.4571428570122449,0.4102564052038133,0.8714285713870747,0.6642857141996599,0.0,validation,tuned,0.9300000000000002,0.9500000000000002
400,collective_anomaly,20,,62,13,13,162,0.8266666665564445,0.8266666665564445,0.8266666615564445,0.9257142856613877,0.8761904761089161,1.9516129032258065,validation,tuned,0.9300000000000002,0.9500000000000002
800,mean_shift,40,80.0,51,32,40,154,0.6144578312512702,0.5604395603779737,0.5862068914949137,0.8279569892027979,0.6941982747903859,5.9411764705882355,validation,tuned,0.9300000000000002,0.9500000000000002
800,variance_shift,40,80.0,43,38,52,156,0.5308641974653254,0.452631578899723,0.4886363586124742,0.8041237112987565,0.6283776450992398,13.69767441860465,validation,tuned,0.9300000000000002,0.9500000000000002
800,trend_shift,40,80.0,15,41,77,156,0.2678571428093112,0.16304347824314747,0.20270269797114693,0.7918781725486356,0.4774608253958915,19.933333333333334,validation,tuned,0.9300000000000002,0.9500000000000002
800,point_anomaly,40,,21,28,15,189,0.428571428483965,0.5833333331712963,0.49411764205951564,0.8709677418953471,0.7271505375333217,0.0,validation,tuned,0.9300000000000002,0.9500000000000002
800,collective_anomaly,40,,71,11,4,162,0.8658536584309935,0.9466666665404445,0.9044585936208367,0.9364161849169701,0.9415414257287074,2.3661971830985915,validation,tuned,0.9300000000000002,0.9500000000000002
1200,mean_shift,60,120.0,53,35,45,150,0.6022727272042873,0.540816326475427,0.5698924680714534,0.8108108107669831,0.675813568621205,10.566037735849056,validation,tuned,0.9300000000000002,0.9500000000000002
1200,variance_shift,60,120.0,45,31,46,157,0.5921052630799862,0.49450549445115327,0.5389221506644198,0.8351063829343028,0.6648059386927281,15.977777777777778,validation,tuned,0.9300000000000002,0.9500000000000002
1200,trend_shift,60,120.0,20,29,74,157,0.4081632652228238,0.21276595742417384,0.2797202751762923,0.8440860214599953,0.5284259894420846,25.3,validation,tuned,0.9300000000000002,0.9500000000000002
1200,point_anomaly,60,,30,45,10,177,0.3999999999466667,0.7499999998125,0.5217391258071834,0.797297297261383,0.7736486485369415,0.0,validation,tuned,0.9300000000000002,0.9500000000000002
1200,collective_anomaly,60,,71,33,4,157,0.6826923076266642,0.9466666665404445,0.7932960844280768,0.8263157894301939,0.8864912279853192,2.0,validation,tuned,0.9300000000000002,0.9500000000000002
400,mean_shift,20,40.0,37,40,59,144,0.48051948045707543,0.38541666662651913,0.42774565975074347,0.7826086956096407,0.5840126811180799,6.378378378378378,ood_params,tuned,0.9300000000000002,0.9500000000000002
400,variance_shift,20,40.0,15,28,77,155,0.34883720922120065,0.16304347824314747,0.22222221784801105,0.8469945354728418,0.5050190068579946,8.6,ood_params,tuned,0.9300000000000002,0.9500000000000002
400,trend_shift,20,40.0,6,50,88,146,0.10714285712372448,0.06382978722725216,0.0799999953102225,0.7448979591456685,0.40436387318646033,9.333333333333334,ood_params,tuned,0.9300000000000002,0.9500000000000002
400,point_anomaly,20,,2,4,29,207,0.33333333277777777,0.0645161290114464,0.10810810533235944,0.981042653981941,0.5227793914966937,0.0,ood_params,tuned,0.9300000000000002,0.9500000000000002
400,collective_anomaly,20,,74,8,17,163,0.9024390242801904,0.813186813097452,0.8554913243944001,0.9532163742132621,0.883201593655357,3.391891891891892,ood_params,tuned,0.9300000000000002,0.9500000000000002
800,mean_shift,40,80.0,36,32,58,151,0.5294117646280277,0.3829787233635129,0.44444443951836615,0.8251366119767685,0.6040576676701407,9.75,ood_params,tuned,0.9300000000000002,0.9500000000000002
800,variance_shift,40,80.0,19,37,77,154,0.33928571422512754,0.19791666664605037,0.24999999531336575,0.8062827224708752,0.5020996945584628,14.421052631578947,ood_params,tuned,0.9300000000000002,0.9500000000000002
800,trend_shift,40,80.0,12,46,79,140,0.2068965516884661,0.13186813185364088,0.16107382072699444,0.7526881720025436,0.4422781519280922,25.666666666666668,ood_params,tuned,0.9300000000000002,0.9500000000000002
800,point_anomaly,40,,2,6,28,205,0.24999999968749997,0.06666666664444444,0.10526315451523556,0.9715639809966083,0.5191153238205264,0.0,ood_params,tuned,0.9300000000000002,0.9500000000000002
800,collective_anomaly,40,,80,24,6,158,0.7692307691568048,0.9302325580313684,0.8421052581141275,0.8681318680841685,0.8991822130577685,2.325,ood_params,tuned,0.9300000000000002,0.9500000000000002
1200,mean_shift,60,120.0,31,33,60,154,0.48437499992431643,0.3406593406219056,0.39999999510010414,0.8235294117206668,0.5820943761712862,12.96774193548387,ood_params,tuned,0.9300000000000002,0.9500000000000002
1200,variance_shift,60,120.0,13,36,85,157,0.2653061223948355,0.13265306121095377,0.17687074383081133,0.8134715025485247,0.47306228187973925,20.076923076923077,ood_params,tuned,0.9300000000000002,0.9500000000000002
1200,trend_shift,60,120.0,10,46,87,146,0.1785714285395408,0.10309278349452652,0.13071894959032868,0.7604166666270616,0.4317547250607941,31.7,ood_params,tuned,0.9300000000000002,0.9500000000000002
1200,point_anomaly,60,,1,13,32,198,0.07142857137755101,0.030303030293847566,0.042553187288366184,0.9383886255479437,0.48434582792089564,0.0,ood_params,tuned,0.9300000000000002,0.9500000000000002
1200,collective_anomaly,60,,89,23,1,157,0.794642857071907,0.9888888887790124,0.881188113783943,0.8722222221737654,0.9305555554763889,1.9213483146067416,ood_params,tuned,0.9300000000000002,0.9500000000000002
400,mean_shift,20,40.0,17,68,74,120,0.1999999999764706,0.1868131867926579,0.1931818131656768,0.6382978723064735,0.4125555295495657,6.764705882352941,ood_background,tuned,0.9300000000000002,0.9500000000000002
400,variance_shift,20,40.0,12,26,87,157,0.31578947360110804,0.12121212119987756,0.17518247771751302,0.8579234972208785,0.489567809210378,9.666666666666666,ood_background,tuned,0.9300000000000002,0.9500000000000002
400,trend_shift,20,40.0,7,50,96,150,0.12280701752231456,0.06796116504194552,0.08749999540234399,0.7499999999625,0.40898058250222274,7.857142857142857,ood_background,tuned,0.9300000000000002,0.9500000000000002
400,point_anomaly,20,,23,26,14,184,0.4693877550062474,0.6216216214536158,0.5348837159031911,0.8761904761487528,0.7489060488011843,0.0,ood_background,tuned,0.9300000000000002,0.9500000000000002
400,collective_anomaly,20,,49,8,26,163,0.8596491226562019,0.6533333332462222,0.7424242374047292,0.9532163742132621,0.8032748537297422,2.857142857142857,ood_background,tuned,0.9300000000000002,0.9500000000000002
800,mean_shift,40,80.0,22,100,68,116,0.18032786883767804,0.24444444441728397,0.2075471649056605,0.5370370370121742,0.3907407407147291,8.136363636363637,ood_background,tuned,0.9300000000000002,0.9500000000000002
800,variance_shift,40,80.0,23,50,67,138,0.3150684931075249,0.2555555555271605,0.2822085839768152,0.7340425531524445,0.49479905433980254,16.391304347826086,ood_background,tuned,0.9300000000000002,0.9500000000000002
800,trend_shift,40,80.0,8,73,89,132,0.09876543208657218,0.08247422679562122,0.08988763547973769,0.6439024389929804,0.3631883328943008,14.125,ood_background,tuned,0.9300000000000002,0.9500000000000002
800,point_anomaly,40,,21,51,16,174,0.2916666666261574,0.5675675674141709,0.38532109636225914,0.7733333332989629,0.6704504503565669,0.0,ood_background,tuned,0.9300000000000002,0.9500000000000002
800,collective_anomaly,40,,62,19,13,158,0.7654320986709343,0.8266666665564445,0.7948717897772848,0.8926553671812059,0.8596610168688252,3.5806451612903225,ood_background,tuned,0.9300000000000002,0.9500000000000002
1200,mean_shift,60,120.0,26,99,65,107,0.20799999998336002,0.28571428568288854,0.24074073584233552,0.5194174757029408,0.40256588069291466,9.615384615384615,ood_background,tuned,0.9300000000000002,0.9500000000000002
1200,variance_shift,60,120.0,13,50,81,140,0.2063492063164525,0.138297872325713,0.16560509071524215,0.7368421052243767,0.4375699887750448,20.846153846153847,ood_background,tuned,0.9300000000000002,0.9500000000000002
1200,trend_shift,60,120.0,8,58,79,137,0.12121212119375575,0.09195402297793633,0.10457515847921763,0.7025641025280736,0.39725906275300493,34.625,ood_background,tuned,0.9300000000000002,0.9500000000000002
1200,point_anomaly,60,,22,82,14,175,0.2115384615181213,0.6111111109413581,0.31428571042040826,0.6809338521135824,0.6460224815274702,0.0,ood_background,tuned,0.9300000000000002,0.9500000000000002
1200,collective_anomaly,60,,65,29,10,156,0.691489361628565,0.8666666665511111,0.7692307642029341,0.8432432431976625,0.8549549548743869,3.3230769230769233,ood_background,tuned,0.9300000000000002,0.9500000000000002
