scenario,events,split_mode,base_distribution,background,base_info,background_info,event_infos,scenario_group,dataset,length
no_event,none,train,ma,quadratic_trend,"{'type': 'base_series', 'subtype': 'MA', 'ma_order': 3, 'ma_coefs': array([-0.28535539, -0.63632142,  0.03290466])}","{'background': 'quadratic_trend', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': ['quadratic_trend'], 'quadratic_strength': np.float64(0.7646768142130321), 'quadratic_sign': np.int64(-1), 'quadratic_location': 'left'}",[],no_event,train,400
trend_shift,trend_shift,train,ma,single_seasonality+linear,"{'type': 'base_series', 'subtype': 'MA', 'ma_order': 3, 'ma_coefs': array([-0.15213559,  0.23937222, -0.22636188])}","{'background': 'single_seasonality+linear', 'slope': np.float64(0.010686782734471358), 'intercept': 0.26793480415939497, 'seasonal_period': 52, 'components': ['single_seasonality', 'linear'], 'seasonal_amplitude': np.float64(0.9303257169862453)}","[{'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 1, 'location': 'middle', 'shift_indices': [221], 'shift_types': ['magnitude_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(0.010686782734471358), 'intercept': 0.26793480415939497}}]",single_event,train,400
trend_shift+collective_anomaly,"trend_shift,collective_anomaly",train,ma,linear,"{'type': 'base_series', 'subtype': 'MA', 'ma_order': 4, 'ma_coefs': array([-0.8844269 ,  0.21971179,  0.26807376,  0.14951671])}","{'background': 'linear', 'slope': np.float64(0.012984758522488381), 'intercept': -0.23510543017119923, 'seasonal_period': None, 'components': ['linear']}","[{'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 1, 'location': 'middle', 'shift_indices': [215], 'shift_types': ['direction_and_magnitude_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(0.012984758522488381), 'intercept': -0.23510543017119923}}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['triangular'], 'num_anomalies': 1, 'location': 'middle', 'starts': array([217]), 'ends': array([261]), 'lengths': [44], 'magnitudes': [np.float64(-2.9999392331535897)], 'magnitude_strengths': [2.249921426455713], 'wrapper_event_label': 'collective_anomaly'}]",shift_anomaly,train,400
trend_shift+collective_anomaly,"trend_shift,collective_anomaly",train,white_noise,single_seasonality+linear,"{'type': 'base_series', 'subtype': 'white_noise'}","{'background': 'single_seasonality+linear', 'slope': np.float64(-0.014456116084455926), 'intercept': -0.47750477059085294, 'seasonal_period': 30, 'components': ['single_seasonality', 'linear'], 'seasonal_amplitude': np.float64(0.9781827723296298)}","[{'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 1, 'location': 'middle', 'shift_indices': [213], 'shift_types': ['direction_and_magnitude_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(-0.014456116084455926), 'intercept': -0.47750477059085294}}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['gaussian'], 'num_anomalies': 1, 'location': 'middle', 'starts': array([175]), 'ends': array([228]), 'lengths': [53], 'magnitudes': [np.float64(2.446958681957961)], 'magnitude_strengths': [1.5474841409297881], 'wrapper_event_label': 'collective_anomaly'}]",shift_anomaly,train,400
mean_shift+point_anomaly,"mean_shift,point_anomaly",train,ma,single_seasonality,"{'type': 'base_series', 'subtype': 'MA', 'ma_order': 2, 'ma_coefs': array([0.89899513, 0.86921829])}","{'background': 'single_seasonality', 'slope': None, 'intercept': None, 'seasonal_period': 52, 'components': ['single_seasonality'], 'seasonal_amplitude': np.float64(0.8015033040015023)}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 2, 'location': None, 'shift_indices': [np.int64(104), np.int64(208)], 'shift_magnitudes': [np.float64(3.5714095030507056), np.float64(3.739664052510913)], 'wrapper_event_label': 'mean_shift'}, {'type': 'anomaly', 'subtype': 'single_point', 'num_anomalies': 1, 'anomaly_indices': array([216]), 'location': None, 'point_anomaly_variant': 'single_point', 'wrapper_event_label': 'point_anomaly'}]",shift_anomaly,train,400
variance_shift+collective_anomaly,"variance_shift,collective_anomaly",train,ma,single_seasonality,"{'type': 'base_series', 'subtype': 'MA', 'ma_order': 3, 'ma_coefs': array([ 0.71881091, -0.17376077, -0.75045979])}","{'background': 'single_seasonality', 'slope': None, 'intercept': None, 'seasonal_period': 30, 'components': ['single_seasonality'], 'seasonal_amplitude': np.float64(2.1617827717187326)}","[{'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 1, 'location': None, 'shift_indices': [np.int64(300)], 'shift_magnitudes': [1.6421762466638135], 'wrapper_event_label': 'variance_shift'}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['rectangular'], 'num_anomalies': 1, 'location': 'middle', 'starts': array([182]), 'ends': array([204]), 'lengths': [22], 'magnitudes': [np.float64(-3.4981841516513583)], 'magnitude_strengths': [1.5711692326003126], 'wrapper_event_label': 'collective_anomaly'}]",shift_anomaly,train,400
mean_shift+collective_anomaly,"mean_shift,collective_anomaly",train,arma,none,"{'type': 'base_series', 'subtype': 'ARMA', 'ar_order': 3, 'ar_coefs': array([-0.7465931 , -0.57118077, -0.59017113]), 'ma_order': 3, 'ma_coefs': array([0.34505366, 0.09562341, 0.35392667])}","{'background': 'none', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': []}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 2, 'location': None, 'shift_indices': [np.int64(103), np.int64(207)], 'shift_magnitudes': [np.float64(3.637143569989225), np.float64(2.382492060436989)], 'wrapper_event_label': 'mean_shift'}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['rectangular'], 'num_anomalies': 1, 'location': 'middle', 'starts': array([207]), 'ends': array([227]), 'lengths': [20], 'magnitudes': [np.float64(1.4377860476966997)], 'magnitude_strengths': [1.0609997900650496], 'wrapper_event_label': 'collective_anomaly'}]",shift_anomaly,train,400
mean_shift,mean_shift,train,white_noise,none,"{'type': 'base_series', 'subtype': 'white_noise'}","{'background': 'none', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': []}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 1, 'location': None, 'shift_indices': [np.int64(211)], 'shift_magnitudes': [np.float64(3.1357317391188384)], 'wrapper_event_label': 'mean_shift'}]",single_event,train,400
trend_shift+collective_anomaly,"trend_shift,collective_anomaly",train,ma,single_seasonality+linear,"{'type': 'base_series', 'subtype': 'MA', 'ma_order': 3, 'ma_coefs': array([0.22792071, 0.3999513 , 0.60067414])}","{'background': 'single_seasonality+linear', 'slope': np.float64(-0.007243824638761427), 'intercept': 0.08763233333634501, 'seasonal_period': 24, 'components': ['single_seasonality', 'linear'], 'seasonal_amplitude': np.float64(0.8761436792796872)}","[{'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 1, 'location': 'middle', 'shift_indices': [231], 'shift_types': ['magnitude_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(-0.007243824638761427), 'intercept': 0.08763233333634501}}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['triangular'], 'num_anomalies': 1, 'location': 'middle', 'starts': array([220]), 'ends': array([278]), 'lengths': [58], 'magnitudes': [np.float64(4.38205279074822)], 'magnitude_strengths': [2.4884504389351347], 'wrapper_event_label': 'collective_anomaly'}]",shift_anomaly,train,400
mean_shift,mean_shift,train,arma,none,"{'type': 'base_series', 'subtype': 'ARMA', 'ar_order': 3, 'ar_coefs': array([ 0.42601898, -0.83453331,  0.13456708]), 'ma_order': 2, 'ma_coefs': array([-0.09536354, -0.1263324 ])}","{'background': 'none', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': []}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 2, 'location': None, 'shift_indices': [np.int64(61), np.int64(102)], 'shift_magnitudes': [np.float64(6.152305576233296), np.float64(2.884572760471188)], 'wrapper_event_label': 'mean_shift'}]",single_event,train,400
variance_shift+trend_shift,"variance_shift,trend_shift",train,arma,linear+single_seasonality,"{'type': 'base_series', 'subtype': 'ARMA', 'ar_order': 4, 'ar_coefs': array([-0.41265777, -0.48968374,  0.22782225,  0.14118158]), 'ma_order': 1, 'ma_coefs': array([-0.15086704])}","{'background': 'linear+single_seasonality', 'slope': np.float64(-0.005497427174913717), 'intercept': 0.40864918277374573, 'seasonal_period': 24, 'components': ['linear', 'single_seasonality'], 'seasonal_amplitude': np.float64(1.4689299474360347)}","[{'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 1, 'location': None, 'shift_indices': [np.int64(120)], 'shift_magnitudes': [2.8891710795278454], 'wrapper_event_label': 'variance_shift'}, {'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 1, 'location': 'middle', 'shift_indices': [203], 'shift_types': ['direction_and_magnitude_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(-0.005497427174913717), 'intercept': 0.40864918277374573}}]",shift_shift,train,400
no_event,none,train,ar,linear+single_seasonality,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 4, 'ar_coefs': array([-0.63020724, -0.15616696, -0.34149451, -0.69800025])}","{'background': 'linear+single_seasonality', 'slope': np.float64(-0.014173976979096295), 'intercept': -0.1120743246264897, 'seasonal_period': 12, 'components': ['linear', 'single_seasonality'], 'seasonal_amplitude': np.float64(2.6545114337852604)}",[],no_event,train,400
point_anomaly+collective_anomaly,"point_anomaly,collective_anomaly",train,ma,linear,"{'type': 'base_series', 'subtype': 'MA', 'ma_order': 4, 'ma_coefs': array([-0.30988344,  0.80396834, -0.17382639,  0.27890039])}","{'background': 'linear', 'slope': np.float64(-0.0037700550643351965), 'intercept': -0.12158934420268552, 'seasonal_period': None, 'components': ['linear']}","[{'type': 'anomaly', 'subtype': 'multiple_point', 'num_anomalies': 2, 'anomaly_indices': array([ 36, 240], dtype=int32), 'point_anomaly_variant': 'multiple_point', 'wrapper_event_label': 'point_anomaly'}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['triangular'], 'num_anomalies': 1, 'location': 'middle', 'starts': array([201]), 'ends': array([259]), 'lengths': [58], 'magnitudes': [np.float64(-3.1950148804286838)], 'magnitude_strengths': [2.1339516340743185], 'wrapper_event_label': 'collective_anomaly'}]",anomaly_anomaly,train,400
variance_shift,variance_shift,train,ar,none,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 4, 'ar_coefs': array([ 0.72202064, -0.28589136,  0.31486599,  0.24604944])}","{'background': 'none', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': []}","[{'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 1, 'location': None, 'shift_indices': [np.int64(303)], 'shift_magnitudes': [1.8038034448444171], 'wrapper_event_label': 'variance_shift'}]",single_event,train,400
collective_anomaly,collective_anomaly,train,white_noise,linear+single_seasonality,"{'type': 'base_series', 'subtype': 'white_noise'}","{'background': 'linear+single_seasonality', 'slope': np.float64(-0.009243363352844846), 'intercept': -0.21669336186060784, 'seasonal_period': 12, 'components': ['linear', 'single_seasonality'], 'seasonal_amplitude': np.float64(1.7122878688312095)}","[{'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['triangular'], 'num_anomalies': 1, 'location': 'middle', 'starts': array([161]), 'ends': array([213]), 'lengths': [52], 'magnitudes': [np.float64(-3.996307633494108)], 'magnitude_strengths': [2.353030546008514], 'wrapper_event_label': 'collective_anomaly'}]",single_event,train,400
mean_shift+trend_shift,"mean_shift,trend_shift",train,white_noise,linear,"{'type': 'base_series', 'subtype': 'white_noise'}","{'background': 'linear', 'slope': np.float64(0.007940119327119972), 'intercept': 0.15753067165404044, 'seasonal_period': None, 'components': ['linear']}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 1, 'location': None, 'shift_indices': [np.int64(152)], 'shift_magnitudes': [np.float64(2.786702205398715)], 'wrapper_event_label': 'mean_shift'}, {'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 1, 'location': 'middle', 'shift_indices': [228], 'shift_types': ['direction_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(0.007940119327119972), 'intercept': 0.15753067165404044}}]",shift_shift,train,400
variance_shift+trend_shift,"variance_shift,trend_shift",train,arma,linear,"{'type': 'base_series', 'subtype': 'ARMA', 'ar_order': 2, 'ar_coefs': array([ 0.19852359, -0.64841735]), 'ma_order': 2, 'ma_coefs': array([-0.84938039,  0.19427174])}","{'background': 'linear', 'slope': np.float64(-0.00610427850393813), 'intercept': -0.13482168021608887, 'seasonal_period': None, 'components': ['linear']}","[{'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 1, 'location': None, 'shift_indices': [np.int64(248)], 'shift_magnitudes': [1.994251194312328], 'wrapper_event_label': 'variance_shift'}, {'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 1, 'location': 'middle', 'shift_indices': [172], 'shift_types': ['direction_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(-0.00610427850393813), 'intercept': -0.13482168021608887}}]",shift_shift,train,400
variance_shift,variance_shift,train,arma,linear+single_seasonality,"{'type': 'base_series', 'subtype': 'ARMA', 'ar_order': 3, 'ar_coefs': array([-0.68476056,  0.13571423,  0.31173974]), 'ma_order': 2, 'ma_coefs': array([ 0.65649702, -0.22585456])}","{'background': 'linear+single_seasonality', 'slope': np.float64(0.010556703174626925), 'intercept': 0.16657797111536943, 'seasonal_period': 12, 'components': ['linear', 'single_seasonality'], 'seasonal_amplitude': np.float64(1.3305042282294617)}","[{'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 1, 'location': None, 'shift_indices': [np.int64(252)], 'shift_magnitudes': [2.249455538816749], 'wrapper_event_label': 'variance_shift'}]",single_event,train,400
variance_shift+point_anomaly,"variance_shift,point_anomaly",train,ma,none,"{'type': 'base_series', 'subtype': 'MA', 'ma_order': 3, 'ma_coefs': array([ 0.58981092, -0.51625064, -0.16570155])}","{'background': 'none', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': []}","[{'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 1, 'location': None, 'shift_indices': [np.int64(298)], 'shift_magnitudes': [2.6846747777741626], 'wrapper_event_label': 'variance_shift'}, {'type': 'anomaly', 'subtype': 'multiple_point', 'num_anomalies': 5, 'anomaly_indices': array([113, 138, 182, 321, 337], dtype=int32), 'point_anomaly_variant': 'multiple_point', 'wrapper_event_label': 'point_anomaly'}]",shift_anomaly,train,400
no_event,none,train,ma,none,"{'type': 'base_series', 'subtype': 'MA', 'ma_order': 2, 'ma_coefs': array([0.84815922, 0.89275331])}","{'background': 'none', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': []}",[],no_event,train,400
mean_shift+variance_shift,"mean_shift,variance_shift",train,white_noise,single_seasonality,"{'type': 'base_series', 'subtype': 'white_noise'}","{'background': 'single_seasonality', 'slope': None, 'intercept': None, 'seasonal_period': 24, 'components': ['single_seasonality'], 'seasonal_amplitude': np.float64(2.0071327735971374)}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 2, 'location': None, 'shift_indices': [np.int64(72), np.int64(144)], 'shift_magnitudes': [np.float64(3.917393691576706), np.float64(2.5167714189280126)], 'wrapper_event_label': 'mean_shift'}, {'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 2, 'location': None, 'shift_indices': [np.int64(216), np.int64(336)], 'shift_magnitudes': [2.799132383702069, 1.7110117664265327], 'wrapper_event_label': 'variance_shift'}]",shift_shift,train,400
mean_shift+point_anomaly,"mean_shift,point_anomaly",train,ar,linear,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 1, 'ar_coefs': array([-0.53576904])}","{'background': 'linear', 'slope': np.float64(0.007899282224399735), 'intercept': -0.061956169301631836, 'seasonal_period': None, 'components': ['linear']}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 1, 'location': None, 'shift_indices': [np.int64(61)], 'shift_magnitudes': [np.float64(3.9679583691550673)], 'wrapper_event_label': 'mean_shift'}, {'type': 'anomaly', 'subtype': 'multiple_point', 'num_anomalies': 3, 'anomaly_indices': array([103, 179, 244], dtype=int32), 'point_anomaly_variant': 'multiple_point', 'wrapper_event_label': 'point_anomaly'}]",shift_anomaly,train,400
mean_shift+collective_anomaly,"mean_shift,collective_anomaly",train,white_noise,quadratic_trend,"{'type': 'base_series', 'subtype': 'white_noise'}","{'background': 'quadratic_trend', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': ['quadratic_trend'], 'quadratic_strength': np.float64(0.9374190007551898), 'quadratic_sign': np.int64(1), 'quadratic_location': 'center'}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 1, 'location': None, 'shift_indices': [np.int64(350)], 'shift_magnitudes': [np.float64(1.827169457751124)], 'wrapper_event_label': 'mean_shift'}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['rectangular'], 'num_anomalies': 1, 'location': 'middle', 'starts': array([169]), 'ends': array([205]), 'lengths': [36], 'magnitudes': [np.float64(-1.207373023311701)], 'magnitude_strengths': [1.1664505009096902], 'wrapper_event_label': 'collective_anomaly'}]",shift_anomaly,train,400
point_anomaly,point_anomaly,train,ar,linear,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 1, 'ar_coefs': array([-0.63317861])}","{'background': 'linear', 'slope': np.float64(-0.007882288120515744), 'intercept': -0.41562979175867376, 'seasonal_period': None, 'components': ['linear']}","[{'type': 'anomaly', 'subtype': 'single_point', 'num_anomalies': 1, 'anomaly_indices': array([170]), 'location': None, 'point_anomaly_variant': 'single_point', 'wrapper_event_label': 'point_anomaly'}]",single_event,train,400
