scenario,events,split_mode,base_distribution,background,base_info,background_info,event_infos,scenario_group,dataset,length
variance_shift+point_anomaly,"variance_shift,point_anomaly",ood_background,ar,linear+multiple_seasonality,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 2, 'ar_coefs': array([ 0.10329396, -0.35953588])}","{'background': 'linear+multiple_seasonality', 'slope': np.float64(-0.026742641392423057), 'intercept': -0.27497887895699036, 'seasonal_period': [5, 12], 'components': ['linear', 'multiple_seasonality'], 'seasonal_amplitudes': [np.float64(2.895902220550972), np.float64(5.160628452491554)]}","[{'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 1, 'location': 'end', 'shift_indices': [342], 'shift_magnitudes': [1.8879610921561973], 'wrapper_event_label': 'variance_shift'}, {'type': 'anomaly', 'subtype': 'multiple_point', 'num_anomalies': 4, 'anomaly_indices': array([ 16,  84, 124, 340], dtype=int32), 'point_anomaly_variant': 'multiple_point', 'wrapper_event_label': 'point_anomaly'}]",shift_anomaly,ood_background,400
trend_shift,trend_shift,ood_background,ar,volatility_background+linear,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 2, 'ar_coefs': array([ 0.21575262, -0.01714812])}","{'background': 'volatility_background+linear', 'slope': np.float64(-0.012756617844590298), 'intercept': 0.40254290351970956, 'seasonal_period': None, 'components': ['volatility_background', 'linear'], 'volatility_kind': 'arch', 'volatility_strength': np.float64(1.0336367463681086), 'volatility_info': {'type': 'volatility', 'subtype': 'ARCH', 'alpha': 0.5364301986834528, 'omega': 0.1471925751703909}}","[{'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 2, 'location': 'middle', 'shift_indices': [np.int64(122), np.int64(195)], 'shift_types': ['magnitude_change', 'direction_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(-0.012756617844590298), 'intercept': 0.40254290351970956}}]",single_event,ood_background,400
point_anomaly,point_anomaly,ood_background,ar,multiple_seasonality,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 2, 'ar_coefs': array([-0.64015482,  0.07170025])}","{'background': 'multiple_seasonality', 'slope': None, 'intercept': None, 'seasonal_period': [7, 12], 'components': ['multiple_seasonality'], 'seasonal_amplitudes': [np.float64(2.155653091763144), np.float64(2.0899968077491535)]}","[{'type': 'anomaly', 'subtype': 'multiple_point', 'num_anomalies': 4, 'anomaly_indices': array([181, 195, 215, 323], dtype=int32), 'point_anomaly_variant': 'multiple_point', 'wrapper_event_label': 'point_anomaly'}]",single_event,ood_background,400
no_event,none,ood_background,ma,quadratic_trend+single_seasonality,"{'type': 'base_series', 'subtype': 'MA', 'ma_order': 1, 'ma_coefs': array([0.4125945])}","{'background': 'quadratic_trend+single_seasonality', 'slope': None, 'intercept': None, 'seasonal_period': 24, 'components': ['quadratic_trend', 'single_seasonality'], 'quadratic_strength': np.float64(1.4239515831423493), 'quadratic_sign': np.int64(-1), 'quadratic_location': 'left', 'seasonal_amplitude': np.float64(1.846138481047072)}",[],no_event,ood_background,400
mean_shift,mean_shift,ood_background,ma,quadratic_trend+single_seasonality,"{'type': 'base_series', 'subtype': 'MA', 'ma_order': 2, 'ma_coefs': array([-0.76590461,  0.06831897])}","{'background': 'quadratic_trend+single_seasonality', 'slope': None, 'intercept': None, 'seasonal_period': 52, 'components': ['quadratic_trend', 'single_seasonality'], 'quadratic_strength': np.float64(2.5946308841822723), 'quadratic_sign': np.int64(1), 'quadratic_location': 'left', 'seasonal_amplitude': np.float64(3.5108625480058815)}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 1, 'location': 'beginning', 'shift_indices': [70], 'shift_magnitudes': [np.float64(2.5363937753765593)], 'wrapper_event_label': 'mean_shift'}]",single_event,ood_background,400
point_anomaly+collective_anomaly,"point_anomaly,collective_anomaly",ood_background,ar,cubic_trend,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 2, 'ar_coefs': array([-0.42927804, -0.17482621])}","{'background': 'cubic_trend', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': ['cubic_trend'], 'cubic_strength': np.float64(3.4833523687493946), 'cubic_sign': np.int64(1)}","[{'type': 'anomaly', 'subtype': 'single_point', 'num_anomalies': 1, 'anomaly_indices': array([343]), 'location': 'end', 'point_anomaly_variant': 'single_point', 'wrapper_event_label': 'point_anomaly'}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['decay'], 'num_anomalies': 1, 'location': 'end', 'starts': array([288]), 'ends': array([311]), 'lengths': [23], 'magnitudes': [np.float64(-3.3215071625530124)], 'magnitude_strengths': [1.8687586158976233], 'wrapper_event_label': 'collective_anomaly'}]",anomaly_anomaly,ood_background,400
point_anomaly+collective_anomaly,"point_anomaly,collective_anomaly",ood_background,ma,linear+multiple_seasonality,"{'type': 'base_series', 'subtype': 'MA', 'ma_order': 4, 'ma_coefs': array([-0.27507593, -0.61907623,  0.0820615 , -0.0429132 ])}","{'background': 'linear+multiple_seasonality', 'slope': np.float64(-0.01615667552440065), 'intercept': -0.014411128312656563, 'seasonal_period': [5, 30], 'components': ['linear', 'multiple_seasonality'], 'seasonal_amplitudes': [np.float64(3.273461610522375), np.float64(3.3423990607032437)]}","[{'type': 'anomaly', 'subtype': 'multiple_point', 'num_anomalies': 8, 'anomaly_indices': array([ 33,  50,  68, 156, 205, 222, 306, 374], dtype=int32), 'point_anomaly_variant': 'multiple_point', 'wrapper_event_label': 'point_anomaly'}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['decay'], 'num_anomalies': 1, 'location': 'end', 'starts': array([345]), 'ends': array([379]), 'lengths': [34], 'magnitudes': [np.float64(-8.234810553881031)], 'magnitude_strengths': [1.8960222576909516], 'wrapper_event_label': 'collective_anomaly'}]",anomaly_anomaly,ood_background,400
variance_shift+trend_shift,"variance_shift,trend_shift",ood_background,arma,linear+multiple_seasonality,"{'type': 'base_series', 'subtype': 'ARMA', 'ar_order': 1, 'ar_coefs': array([0.81954569]), 'ma_order': 2, 'ma_coefs': array([-0.44982902, -0.08394868])}","{'background': 'linear+multiple_seasonality', 'slope': np.float64(-0.014554686558753843), 'intercept': -0.2657663294211585, 'seasonal_period': [5, 24], 'components': ['linear', 'multiple_seasonality'], 'seasonal_amplitudes': [np.float64(2.0042104381831907), np.float64(1.9414266881797049)]}","[{'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 1, 'location': 'end', 'shift_indices': [302], 'shift_magnitudes': [1.5261642597078464], 'wrapper_event_label': 'variance_shift'}, {'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 2, 'location': 'end', 'shift_indices': [np.int64(70), np.int64(144)], 'shift_types': ['direction_change', 'magnitude_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(-0.014554686558753843), 'intercept': -0.2657663294211585}}]",shift_shift,ood_background,400
variance_shift+collective_anomaly,"variance_shift,collective_anomaly",ood_background,ma,linear+multiple_seasonality,"{'type': 'base_series', 'subtype': 'MA', 'ma_order': 1, 'ma_coefs': array([0.21463355])}","{'background': 'linear+multiple_seasonality', 'slope': np.float64(-0.014128554161206789), 'intercept': 0.3498139338015689, 'seasonal_period': [12, 30], 'components': ['linear', 'multiple_seasonality'], 'seasonal_amplitudes': [np.float64(3.436700075077463), np.float64(2.523165812815523)]}","[{'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 1, 'location': 'middle', 'shift_indices': [238], 'shift_magnitudes': [2.3237948941862854], 'wrapper_event_label': 'variance_shift'}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['gaussian'], 'num_anomalies': 1, 'location': 'middle', 'starts': array([198]), 'ends': array([245]), 'lengths': [47], 'magnitudes': [np.float64(-7.795978323502864)], 'magnitude_strengths': [2.1421234238828077], 'wrapper_event_label': 'collective_anomaly'}]",shift_anomaly,ood_background,400
mean_shift,mean_shift,ood_background,ar,quadratic_trend+single_seasonality,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 2, 'ar_coefs': array([-0.24047669,  0.72102777])}","{'background': 'quadratic_trend+single_seasonality', 'slope': None, 'intercept': None, 'seasonal_period': 30, 'components': ['quadratic_trend', 'single_seasonality'], 'quadratic_strength': np.float64(5.762461144947822), 'quadratic_sign': np.int64(-1), 'quadratic_location': 'left', 'seasonal_amplitude': np.float64(9.327432333075329)}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 2, 'location': 'beginning', 'shift_indices': [np.int64(30), np.int64(270)], 'shift_magnitudes': [np.float64(1.7071270379667303), np.float64(4.408815181571685)], 'wrapper_event_label': 'mean_shift'}]",single_event,ood_background,400
