scenario,events,split_mode,base_distribution,background,base_info,background_info,event_infos,scenario_group,dataset,length
point_anomaly+collective_anomaly,"point_anomaly,collective_anomaly",ood_params,ar,quadratic_trend,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 2, 'ar_coefs': array([ 0.27154103, -0.82091458])}","{'background': 'quadratic_trend', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': ['quadratic_trend'], 'quadratic_strength': np.float64(1.515213443192307), 'quadratic_sign': np.int64(-1), 'quadratic_location': 'center'}","[{'type': 'anomaly', 'subtype': 'single_point', 'num_anomalies': 1, 'anomaly_indices': array([207]), 'location': 'middle', 'point_anomaly_variant': 'single_point', 'wrapper_event_label': 'point_anomaly'}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['gaussian'], 'num_anomalies': 1, 'location': 'middle', 'starts': array([219]), 'ends': array([276]), 'lengths': [57], 'magnitudes': [np.float64(1.9550483101711111)], 'magnitude_strengths': [1.9660391177747383], 'wrapper_event_label': 'collective_anomaly'}]",anomaly_anomaly,ood_params,400
variance_shift+collective_anomaly,"variance_shift,collective_anomaly",ood_params,ar,quadratic_trend,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 1, 'ar_coefs': array([-0.34029009])}","{'background': 'quadratic_trend', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': ['quadratic_trend'], 'quadratic_strength': np.float64(0.8419061091660534), 'quadratic_sign': np.int64(-1), 'quadratic_location': 'right'}","[{'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 1, 'location': 'end', 'shift_indices': [288], 'shift_magnitudes': [2.8862516428616534], 'wrapper_event_label': 'variance_shift'}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['decay'], 'num_anomalies': 1, 'location': 'end', 'starts': array([322]), 'ends': array([360]), 'lengths': [38], 'magnitudes': [np.float64(-4.145660333036587)], 'magnitude_strengths': [2.3884285292232246], 'wrapper_event_label': 'collective_anomaly'}]",shift_anomaly,ood_params,400
point_anomaly,point_anomaly,ood_params,ar,none,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 2, 'ar_coefs': array([-0.22666476, -0.02413604])}","{'background': 'none', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': []}","[{'type': 'anomaly', 'subtype': 'multiple_point', 'num_anomalies': 4, 'anomaly_indices': array([102, 154, 302, 335], dtype=int32), 'point_anomaly_variant': 'multiple_point', 'wrapper_event_label': 'point_anomaly'}]",single_event,ood_params,400
no_event,none,ood_params,white_noise,linear,"{'type': 'base_series', 'subtype': 'white_noise'}","{'background': 'linear', 'slope': np.float64(-0.00520792448439412), 'intercept': -0.3597564243129826, 'seasonal_period': None, 'components': ['linear']}",[],no_event,ood_params,400
trend_shift+point_anomaly,"trend_shift,point_anomaly",ood_params,arma,linear+single_seasonality,"{'type': 'base_series', 'subtype': 'ARMA', 'ar_order': 1, 'ar_coefs': array([0.31429614]), 'ma_order': 3, 'ma_coefs': array([-0.86124754,  0.34890117,  0.02395691])}","{'background': 'linear+single_seasonality', 'slope': np.float64(0.004551087322853692), 'intercept': 0.04266756906230007, 'seasonal_period': 12, 'components': ['linear', 'single_seasonality'], 'seasonal_amplitude': np.float64(1.5845586753178675)}","[{'type': 'structural_break', 'subtype': 'trend_shift', 'num_breaks': 2, 'location': 'end', 'shift_indices': [np.int64(228), np.int64(288)], 'shift_types': ['direction_change', 'direction_change'], 'wrapper_event_label': 'trend_shift', 'linear_info_used': {'slope': np.float64(0.004551087322853692), 'intercept': 0.04266756906230007}}, {'type': 'anomaly', 'subtype': 'multiple_point', 'num_anomalies': 3, 'anomaly_indices': array([114, 240, 277], dtype=int32), 'point_anomaly_variant': 'multiple_point', 'wrapper_event_label': 'point_anomaly'}]",shift_anomaly,ood_params,400
no_event,none,ood_params,white_noise,linear,"{'type': 'base_series', 'subtype': 'white_noise'}","{'background': 'linear', 'slope': np.float64(0.007372701669881961), 'intercept': -0.21279603957587734, 'seasonal_period': None, 'components': ['linear']}",[],no_event,ood_params,400
mean_shift+variance_shift,"mean_shift,variance_shift",ood_params,arma,none,"{'type': 'base_series', 'subtype': 'ARMA', 'ar_order': 2, 'ar_coefs': array([-0.63406741, -0.03684595]), 'ma_order': 2, 'ma_coefs': array([0.73648202, 0.18085146])}","{'background': 'none', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': []}","[{'type': 'structural_break', 'subtype': 'mean_shift', 'num_breaks': 1, 'location': 'beginning', 'shift_indices': [110], 'shift_magnitudes': [np.float64(2.2953994392501977)], 'wrapper_event_label': 'mean_shift'}, {'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 2, 'location': 'beginning', 'shift_indices': [np.int64(105), np.int64(206)], 'shift_magnitudes': [1.5556492364569452, 1.99813785451802], 'wrapper_event_label': 'variance_shift'}]",shift_shift,ood_params,400
variance_shift+point_anomaly,"variance_shift,point_anomaly",ood_params,arma,none,"{'type': 'base_series', 'subtype': 'ARMA', 'ar_order': 2, 'ar_coefs': array([0.86676385, 0.09990484]), 'ma_order': 4, 'ma_coefs': array([-0.26234947,  0.3815781 ,  0.23145081,  0.47259025])}","{'background': 'none', 'slope': None, 'intercept': None, 'seasonal_period': None, 'components': []}","[{'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 1, 'location': 'end', 'shift_indices': [293], 'shift_magnitudes': [2.5157973607799438], 'wrapper_event_label': 'variance_shift'}, {'type': 'anomaly', 'subtype': 'single_point', 'num_anomalies': 1, 'anomaly_indices': array([292]), 'location': 'end', 'point_anomaly_variant': 'single_point', 'wrapper_event_label': 'point_anomaly'}]",shift_anomaly,ood_params,400
variance_shift+point_anomaly,"variance_shift,point_anomaly",ood_params,ar,linear,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 2, 'ar_coefs': array([-0.07350281,  0.81190194])}","{'background': 'linear', 'slope': np.float64(-0.014156568337336032), 'intercept': 0.45487259262881286, 'seasonal_period': None, 'components': ['linear']}","[{'type': 'structural_break', 'subtype': 'variance_shift', 'num_breaks': 1, 'location': 'middle', 'shift_indices': [180], 'shift_magnitudes': [1.6297542169910293], 'wrapper_event_label': 'variance_shift'}, {'type': 'anomaly', 'subtype': 'single_point', 'num_anomalies': 1, 'anomaly_indices': array([209]), 'location': 'middle', 'point_anomaly_variant': 'single_point', 'wrapper_event_label': 'point_anomaly'}]",shift_anomaly,ood_params,400
point_anomaly+collective_anomaly,"point_anomaly,collective_anomaly",ood_params,ar,linear+single_seasonality,"{'type': 'base_series', 'subtype': 'AR', 'ar_order': 2, 'ar_coefs': array([-0.26097785,  0.02240086])}","{'background': 'linear+single_seasonality', 'slope': np.float64(0.010959820305415278), 'intercept': -0.07902841521720128, 'seasonal_period': 12, 'components': ['linear', 'single_seasonality'], 'seasonal_amplitude': np.float64(1.7851231783284673)}","[{'type': 'anomaly', 'subtype': 'multiple_point', 'num_anomalies': 7, 'anomaly_indices': array([123, 189, 204, 207, 212, 269, 335], dtype=int32), 'point_anomaly_variant': 'multiple_point', 'wrapper_event_label': 'point_anomaly'}, {'type': 'anomaly', 'subtype': 'collective', 'anomaly_shapes': ['gaussian'], 'num_anomalies': 1, 'location': 'end', 'starts': array([297]), 'ends': array([339]), 'lengths': [42], 'magnitudes': [np.float64(3.188698983622074)], 'magnitude_strengths': [2.4569101596288965], 'wrapper_event_label': 'collective_anomaly'}]",anomaly_anomaly,ood_params,400
